queue_id,source_paper_id,citation,doi,species,screen_wave,screen_basis,C_status,F_status,fragmentation_exposure_frame,independent_unit_frame,screen_decision,decision_reason,next_action,outcome_opened,outcome_blind_confirmation
CFQ001,1,Beghè et al. 2017,10.1093/aob/mcw246,Olea europaea subsp. europaea var. sylvestris,1,title_abstract_methods_only,pollen_gene_flow_recoverable,no_eligible_reproductive_function_endpoint,"one undisturbed natural forest population; anthropogenic effects are conservation motivation rather than a replicated fragmentation treatment","trees/maternal families nested within one population",closed_no_F_and_no_fragmentation_contrast,"The study quantifies pollen immigration, paternity and fine-scale genetic structure in one undisturbed population. It does not measure an eligible reproductive-function endpoint and does not identify a fragmented-versus-reference exposure.","retain as C/process background; do not promote paternity or seed families to fragmentation replicates",no,yes
CFQ002,4,Bizoux et al. 2009,10.1111/j.1365-294X.2009.04365.x,Milicia excelsa,1,title_abstract_methods_only,gene_dispersal_recoverable,no_eligible_reproductive_function_endpoint,"four populations include two open-habitat and two continuous-forest populations","population","closed_no_F_endpoint,"The source measures spatial genetic structure and gene-dispersal inference across four populations but does not measure fruit, seed or other direct reproductive-function output on the same exposure frame.","retain for C/G and habitat-context analyses; no C-F pair admission",no,yes
CFQ003,8,Cloutier et al. 2007,10.1111/j.1744-7429.2007.00266.x,Carapa guianensis; Sextonia rubra,1,title_abstract_methods_only,pollen_dispersal_and_mating_recoverable,no_eligible_reproductive_function_endpoint,"one focal population per species; local conspecific density is examined within populations","maternal trees nested within one population per species",closed_no_F_and_no_fragmentation_contrast,"The study estimates pollen dispersal, outcrossing and correlated paternity from seeds and mother trees. Those are C/mating endpoints, not direct reproductive function, and there is no replicated fragmentation treatment/reference frame.","retain as reproductive-biology/C background; do not treat seeds or mothers as fragmentation units",no,yes
CFQ004,10,Duminil et al. 2016,10.1016/j.foreco.2016.08.003,Baillonella toxisperma,1,title_abstract_methods_only,pollen_dispersal_and_mating_recoverable,no_direct_F_endpoint,"logging/density reduction is management motivation; the analysed system does not provide a replicated fragmented-versus-reference treatment","cohorts and maternal families nested within focal population system",closed_no_direct_F_and_no_fragmentation_contrast,"The paper estimates selfing, pollen dispersal, pollen-donor number and cohort inbreeding. Inbred-cohort loss is inferred from genetic differences among life stages rather than measured as a direct reproductive-function endpoint, and no replicated fragmentation contrast is available.","retain as C/mating/inbreeding context; do not recode cohort survival inference as F",no,yes
CFQ005,11,Duminil et al. 2016,10.1038/hdy.2015.101,Erythrophleum suaveolens,1,title_abstract_methods_only,pollen_dispersal_and_mating_recoverable,no_eligible_reproductive_function_endpoint,"three populations with contrasting adult density used as an indirect logging-density comparison","population","closed_no_F_endpoint_and_exposure_not_direct_fragmentation,"The source compares genetic diversity, mating and pollen dispersal across three density classes. It explicitly identifies pollen limitation effects on seed production as a question requiring future investigation, so F is not measured here. Population density is also not a direct replicated fragmentation treatment.","retain as C/density context; no C-F pair admission",no,yes
CFQ006,15,Hardy et al. 2006,10.1111/j.1365-294X.2005.02785.x,multiple Neotropical tree species,1,title_abstract_methods_only,historical_gene_dispersal_inference_recoverable,no_eligible_reproductive_function_endpoint,"sympatric population datasets from rainforest sites; no source-defined fragmentation treatment/reference contrast","species/population datasets",closed_no_F_and_no_fragmentation_contrast,"The study compares indirect gene-dispersal estimates and fine-scale genetic structure across tropical tree species. It contains no direct reproductive-function endpoint and no registered fragmentation contrast for C-F.","retain as dispersal-method/background evidence only",no,yes
CFQ007,20,Lemos et al. 2015,10.1007/s11295-015-0885-7,Schinus molle,1,title_abstract_methods_only,internal_gene_flow_recoverable,no_eligible_reproductive_function_endpoint,"nine populations across a fragmented Brazilian Pampa landscape; connectivity is the genetic focus","population",closed_no_F_endpoint,"The source studies genetic diversity, spatial genetic structure and internal gene flow across nine populations. Fragmentation/connectivity is relevant, but no direct reproductive-function endpoint is reported in the same study.","retain as C/G fragmentation evidence; no C-F pair admission",no,yes
CFQ008,24,Oddou-Muratorio et al. 2004,10.1111/j.1365-294X.2004.02373.x,Sorbus torminalis,1,title_abstract_methods_only,gene_dispersal_recoverable,no_eligible_reproductive_function_endpoint,"logging-history units are nested within one 472-ha population","logging units nested within one population",closed_no_F_and_no_independent_fragmentation_reference,"The source reconstructs gene dispersal, recruitment history and genetic structure within one managed population. Seedling recruitment patterns are demographic history rather than a direct F response, and logging units do not provide independent fragmented/reference landscapes.","retain as C/recruitment-history context; no direct C-F admission",no,yes
CFQ009,25,Oddou-Muratorio et al. 2010,10.1016/j.foreco.2010.03.001,Fagus sylvatica; Fagus crenata,2,title_abstract_methods_only,seed_and_pollen_dispersal_recoverable,no_eligible_reproductive_function_endpoint,"comparative dispersal study across European and Japanese beech sites; not a source-defined fragmentation treatment/reference comparison","site/species datasets",closed_no_F_and_no_fragmentation_contrast,"The paper compares contemporary and historical seed/pollen dispersal methods and immigration. It contains no direct reproductive-function endpoint and no common fragmentation exposure for C-F.","retain as C/dispersal-method evidence only",no,yes
CFQ010,32,Wang et al. 2011,10.1111/j.1365-294X.2011.05293.x,Castanopsis sclerophylla,2,title_abstract_methods_only,pollen_gene_flow_recoverable,no_eligible_reproductive_function_endpoint,"populations fragmented to varying extents with pre- and post-fragmentation cohorts","population/subpopulation and cohort","closed_no_F_endpoint,"The source directly tests fragmentation effects on spatial genetic structure and pollen-mediated gene flow. Its additional responses are cohort genetics/selfing rather than fruit, seed production or another direct reproductive-function endpoint.","retain as high-value C/G fragmentation evidence; no C-F pair admission",no,yes
