study_id,species,layer,endpoint,provenance,context,n_family,n_progeny,mean,reported_sd,sd_representation,effect_unit_status,analysis_role,source_location,note
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,all,forest,47,407,0.163,0.024,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,primary_candidate_context,Table 1,"Higher rp means fewer effective pollen donors. The reported uncertainty is from bootstrapping families for the group mating-system estimate and is not a between-family SD; do not combine with n_family to form Hedges g."
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,all,isolated,24,204,0.341,0.061,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,primary_candidate_context,Table 1,"Direction indicates lower pollen-donor diversity under isolation, but no family-level rp vector is publicly supplied."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,all,forest,47,407,0.060,0.010,source_group_summary_sd,descriptive_only,primary_candidate_context,Table 1,"Growth is lower under isolation, but G_mating cannot be standardized on a compatible family-level representation and paired family covariance is unavailable."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,all,isolated,24,204,0.048,0.012,source_group_summary_sd,descriptive_only,primary_candidate_context,Table 1,"Retained as directional source evidence only; no ML016 primary effect is admitted."
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,mesic,forest,24,,0.254,0.052,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,mesic,isolated,12,,0.445,0.086,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,mesic,forest,24,,0.059,0.011,source_group_summary_sd,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,mesic,isolated,12,,0.043,0.012,source_group_summary_sd,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,dry,forest,23,,0.153,0.026,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,G_mating,correlated_paternity_rp,dry,isolated,12,,0.278,0.084,group_MLTR_parameter_family_bootstrap_uncertainty,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,dry,forest,23,,0.062,0.010,source_group_summary_sd,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
PS021,Swietenia macrophylla,F,five_year_common_garden_growth,dry,isolated,12,,0.054,0.010,source_group_summary_sd,descriptive_only,provenance_sensitivity,Table 1,"Prespecified provenance sensitivity; not an independent study or cluster."
