cf01_seed_id,canonical_search_key,source_origins,citation,title,year,doi,species,existing_egwee_programmes,identity_provenance,bibliographic_resolution_status,backward_citation_status,forward_citation_status,citation_expansion_cutoff,screening_status,outcome_opened
CF01S0001,CF01:P2_CF01_GPAIR_002,CF01_GPAIR_002,"Yineger, H., Schmidt, D.J., Hughes, J.M. (2014). Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia. BMC Genetics 15:31.",Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia,2014,10.1186/1471-2156-15-31,Prunus africana,P2_CF01_GPAIR_002,independent CF01 G-pair recovery absent from materialized SF04/SF05/SF06 identities,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0002,PRIMARY:PS002,PRIMARY:PS002,Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations (2013),Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations,2013,10.1186/1472-6785-13-10,Magnolia stellata,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0003,PRIMARY:PS004,PRIMARY:PS004,Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum (2023),Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum,2023,10.1002/ajb2.16157,Brosimum alicastrum,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0004,PRIMARY:PS005,PRIMARY:PS005,Pollination and reproductive success across volcanic damage on Miyake-jima (2008),Pollination and reproductive success across volcanic damage on Miyake-jima,2008,10.1007/s11284-007-0345-4,Camellia japonica,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0005,PRIMARY:PS006,PRIMARY:PS006,Pollen flow and next-generation genetics across volcanic damage on Miyake-jima (2013),Pollen flow and next-generation genetics across volcanic damage on Miyake-jima,2013,10.1371/journal.pone.0062696,Camellia japonica,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0006,PRIMARY:PS007,PRIMARY:PS007,Density-dependent pollinator activity and reproductive response in fragmented urban populations (2006),Density-dependent pollinator activity and reproductive response in fragmented urban populations,2006,10.1111/j.1469-8137.2006.01880.x,Crepis sancta,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0007,PRIMARY:PS008,PRIMARY:PS008,Contemporary pollen and seed dispersal in fragmented urban patch networks (2013),Contemporary pollen and seed dispersal in fragmented urban patch networks,2013,10.1038/hdy.2013.3,Crepis sancta,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0008,PRIMARY:PS010,PRIMARY:PS010,Adult genetic structure and historical habitat connectivity (2021),Adult genetic structure and historical habitat connectivity,2021,10.1007/s10531-021-02256-x,Conospermum undulatum,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0009,PRIMARY:PS011,PRIMARY:PS011,Contemporary offspring paternity and pollen flow across fragmented versus continuous habitat (2026),Contemporary offspring paternity and pollen flow across fragmented versus continuous habitat,2026,10.1002/ece3.73406,Conospermum undulatum,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0010,PRIMARY:PS014,PRIMARY:PS014,Habitat edges decrease plant reproductive output in fragmented landscapes (2025),Habitat edges decrease plant reproductive output in fragmented landscapes,2025,10.1111/1365-2745.14452,multiple_species,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0011,PRIMARY:PS015,PRIMARY:PS015,Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species (2020),Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species,2020,10.1016/j.biocon.2020.108824,Conospermum undulatum,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0012,PRIMARY:PS016,PRIMARY:PS016,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb (2025)","Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb",2025,10.1016/j.biocon.2025.111044,Primula elatior,,eligible primary-study seed not represented in materialized SF04/SF05/SF06 identity ledger,doi_present,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0013,SF04:SF04R02,SF04:SF04R02,Cunha et al. (2011) Genetica 139: 1159-1168,,2011,,Dalbergia nigra,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0014,SF04:SF04R04,SF04:SF04R04,Chung & Nason (2007) Biological Conservation 137: 125-137,,2007,,Cymbidium goeringii,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0015,SF04:SF04R05,SF04:SF04R05,Souto & Premoli (2003) Botanical Bulletin Academia Sinica Taipei 44: 329-336,,2003,,Alstroemeria aurea,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0016,SF04:SF04R06,SF04:SF04R06,Farwig et al. (2008) Conservation Genetics 9: 317-326,,2008,,Prunus africana,P2_CF01_GPAIR_003,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0017,SF04:SF04R07,SF04:SF04R07,Suni & Whiteley (2015) Conservation Genetics 16: 1431-1442,,2015,,ipomosis aggregata,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0018,SF04:SF04R08,SF04:SF04R08,Korshikov et al. (2015) Cytology and Genetics 49: 102-108,,2015,,Pinus brutia,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0019,SF04:SF04R09,SF04:SF04R09,Rymer et al. (2015) Heredity 115: 115-124,,2015,,Pachira quinata,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0020,SF04:SF04R10,SF04:SF04R10,Jump & Peñuelas (2006) Proceedings of the National Academy of Sciences USA 103: 8096-8100,,2006,,Fagus sylvatica,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
CF01S0021,SF04:SF04R11,SF04:SF04R11,White & Powell (1997) Molecular Ecology 6: 851-860,,1997,,Swietenia humilis,,materialized SF04/SF05/SF06 cross-frame canonical identity,citation_resolution_pending,pending,pending,2026-09-18,pending_uniform_CF01_bibliographic_expansion,no
