queue_id,canonical_identity_key,source_frames,source_ids,citation,species,metadata_layers,sf06_responses,land_use_factors,screen_basis,design_gate,screening_status,outcome_opened
IFQ001,SF06:SF06P001,SF06,SF06:SF06P001,Abrahamczyk et al. (2021) Plant Ecology 222:613- 623,Centaurea_scabiosa,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ002,SF06:SF06P004,SF06,SF06:SF06P004,"Aguilar (2005) PhD Thesis, National University of Córdoba Pp. 1- 169",Cestrum_parqui; Dicliptera_squarrosa; Geoffroea_decorticans; Heimia_salicifolia; Ipomoea_purpurea; Lycium_cestroides; Mandevilla_laxa; Mandevilla_pentlandiana; Porlieria_microphylla; Solanum_chenopodioides; Talinum_paniculatum; Vachellia_caven,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ003,SF06:SF06P010,SF06,SF06:SF06P010,Angoh et al. (2021) South African Journal of Botany 141:196- 199,Erica_discolor,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ004,SF06:SF06P012,SF06,SF06:SF06P012,Barreto et al. (2018) Botanical Journal of the Linnean Society 187:319- 326,Justicia_aequilabris,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ005,SF06:SF06P038,SF06,SF06:SF06P038,Cascante et al. (2002) Conservation Biology 16:137- 147,Samanea_saman,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ006,SF06:SF06P040,SF06,SF06:SF06P040,Chen & Zuo (2019) Frontiers in Plant Science 10:327,Haloxylon_ammodendron,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ007,SF06:SF06P041,SF06,SF06:SF06P041,Chen et al. (2019) Science of the Total Environment 654:1056- 1063,Caragana_korshinskii,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ008,SF06:SF06P042,SF06,SF06:SF06P042,Chiapero et al. (2021) Forest Ecology and Management 492:119215,Lithraea_molleoides,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ009,SF06:SF06P046,SF06,SF06:SF06P046,Coombs et al. (2009) Austral Ecology 34:688- 697,Gomphocarpus_physocarpus,F;I,Female fitness; Male fitness; Pollination,Habitat fragmentation; Habitat Fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
IFQ010,SF06:SF06P055,SF06,SF06:SF06P055,da Silva Elias et al. (2012) Journal of Tropical Ecology 28:317- 320,Cardiopetalum_calophyllum,F;I,Female fitness; Pollination,Habitat Fragmentation; Habitat fragmentation,source_metadata_only_no_effect_direction_or_significance,verify source-defined fragmentation exposure; at least two I/F layers share the same exposure; recover fragmentation-level independent unit; no nested-unit promotion,pending_title_abstract_methods_design_screen,no
