cf01_seed_id,canonical_search_key,input_doi,input_citation,resolution_status,resolution_method,openalex_id,resolved_doi,resolved_title,resolved_year,match_score,match_margin,match_details_json,cited_by_count_metadata,referenced_work_count_metadata,resolution_error,citation_expansion_cutoff,outcome_opened
CF01S0001,CF01:P2_CF01_GPAIR_002,10.1186/1471-2156-15-31,"Yineger, H., Schmidt, D.J., Hughes, J.M. (2014). Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia. BMC Genetics 15:31.",resolved,openalex_doi_exact,https://openalex.org/W2024956185,10.1186/1471-2156-15-31,Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia,2014,100.000000,100.000000,"{""doi_exact"": true}",15,74,,2026-09-18,no
CF01S0002,PRIMARY:PS002,10.1186/1472-6785-13-10,Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations (2013),resolved,openalex_doi_exact,https://openalex.org/W2170962995,10.1186/1472-6785-13-10,Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations,2013,100.000000,100.000000,"{""doi_exact"": true}",41,82,,2026-09-18,no
CF01S0003,PRIMARY:PS004,10.1002/ajb2.16157,Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum (2023),resolved,openalex_doi_exact,https://openalex.org/W4327846094,10.1002/ajb2.16157,Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum,2023,100.000000,100.000000,"{""doi_exact"": true}",6,101,,2026-09-18,no
CF01S0004,PRIMARY:PS005,10.1007/s11284-007-0345-4,Pollination and reproductive success across volcanic damage on Miyake-jima (2008),resolved,openalex_doi_exact,https://openalex.org/W2059257368,10.1007/s11284-007-0345-4,Impact of volcanic activity on a plant‐pollinator module in an island ecosystem: the example of the association of Camellia japonica and Zosterops japonica,2007,100.000000,100.000000,"{""doi_exact"": true}",16,38,,2026-09-18,no
CF01S0005,PRIMARY:PS006,10.1371/journal.pone.0062696,Pollen flow and next-generation genetics across volcanic damage on Miyake-jima (2013),resolved,openalex_doi_exact,https://openalex.org/W2050171490,10.1371/journal.pone.0062696,Resilient Plant–Bird Interactions in a Volcanic Island Ecosystem: Pollination of Japanese Camellia Mediated by the Japanese White-Eye,2013,100.000000,100.000000,"{""doi_exact"": true}",7,63,,2026-09-18,no
CF01S0006,PRIMARY:PS007,10.1111/j.1469-8137.2006.01880.x,Density-dependent pollinator activity and reproductive response in fragmented urban populations (2006),resolved,openalex_doi_exact,https://openalex.org/W2169551703,10.1111/j.1469-8137.2006.01880.x,Pollination processes and the Allee effect in highly fragmented populations: consequences for the mating system in urban environments,2006,100.000000,100.000000,"{""doi_exact"": true}",124,56,,2026-09-18,no
CF01S0007,PRIMARY:PS008,10.1038/hdy.2013.3,Contemporary pollen and seed dispersal in fragmented urban patch networks (2013),resolved,openalex_doi_exact,https://openalex.org/W2090713369,10.1038/hdy.2013.3,Inferring contemporary dispersal processes in plant metapopulations: comparison of direct and indirect estimates of dispersal for the annual species Crepis sancta,2013,100.000000,100.000000,"{""doi_exact"": true}",3,44,,2026-09-18,no
CF01S0008,PRIMARY:PS010,10.1007/s10531-021-02256-x,Adult genetic structure and historical habitat connectivity (2021),resolved,openalex_doi_exact,https://openalex.org/W3185037414,10.1007/s10531-021-02256-x,Genetic and ecological consequences of recent habitat fragmentation in a narrow endemic plant species within an urban context,2021,100.000000,100.000000,"{""doi_exact"": true}",20,75,,2026-09-18,no
CF01S0009,PRIMARY:PS011,10.1002/ece3.73406,Contemporary offspring paternity and pollen flow across fragmented versus continuous habitat (2026),resolved,openalex_doi_exact,https://openalex.org/W7154064628,10.1002/ece3.73406,Exchanging Genes Within a City: Analysis of Pollen Flow Patterns in a Narrow Endemic Plant Species Threatened by Urbanisation,2026,100.000000,100.000000,"{""doi_exact"": true}",0,37,,2026-09-18,no
CF01S0010,PRIMARY:PS014,10.1111/1365-2745.14452,Habitat edges decrease plant reproductive output in fragmented landscapes (2025),resolved,openalex_doi_exact,https://openalex.org/W4404831733,10.1111/1365-2745.14452,Habitat edges decrease plant reproductive output in fragmented landscapes,2024,100.000000,100.000000,"{""doi_exact"": true}",11,69,,2026-09-18,no
CF01S0011,PRIMARY:PS015,10.1016/j.biocon.2020.108824,Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species (2020),resolved,openalex_doi_exact,https://openalex.org/W3100118178,10.1016/j.biocon.2020.108824,Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species,2020,100.000000,100.000000,"{""doi_exact"": true}",25,58,,2026-09-18,no
CF01S0012,PRIMARY:PS016,10.1016/j.biocon.2025.111044,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb (2025)",resolved,openalex_doi_exact,https://openalex.org/W4408094175,10.1016/j.biocon.2025.111044,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb",2025,100.000000,100.000000,"{""doi_exact"": true}",4,85,,2026-09-18,no
CF01S0013,SF04:SF04R02,,Cunha et al. (2011) Genetica 139: 1159-1168,unresolved,crossref_bibliographic_to_openalex_doi,,,,,6.000000,2.000000,"{""author_match"": false, ""crossref_doi"": ""10.1007/s10709-011-9618-5"", ""crossref_title"": ""Diversity and genetic connectivity among populations of a threatened tree (Dalbergia nigra) in a recently fragmented landscape of the Brazilian Atlantic Forest"", ""page_match"": true, ""title_similarity"": 0.0, ""volume_match"": true, ""year_match"": true}",,,crossref_ambiguous_or_low_confidence,2026-09-18,no
