species,year,site_id,condition,I_pollen_tubes,F_fruit_set,source_note
Atamisquea emarginata,1989,1,continuous,11.8,0.50,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,2,continuous,10.4,0.30,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,3,continuous,10.8,0.46,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,5,continuous,16.7,0.36,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,1,small,10.5,0.34,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,2,small,7.0,0.26,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,3,small,8.2,0.39,Appendix I Table A1 habitat-unit means
Atamisquea emarginata,1989,5,small,14.1,0.27,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,1,continuous,4.9,0.10,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,2,continuous,7.0,0.07,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,3,continuous,6.8,0.09,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,5,continuous,7.6,0.08,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,1,small,3.6,0.04,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,2,small,7.0,0.07,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,3,small,4.5,0.08,Appendix I Table A1 habitat-unit means
Cercidium australe,1990,5,small,6.9,0.07,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,1,continuous,5.9,1.81,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,2,continuous,6.0,1.36,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,3,continuous,7.5,1.98,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,5,continuous,6.2,1.10,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,1,small,5.5,1.64,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,2,small,8.1,0.29,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,3,small,3.9,0.54,Appendix I Table A1 habitat-unit means
Prosopis nigra,1990,5,small,5.1,1.10,Appendix I Table A1 habitat-unit means
