cf01_seed_id,canonical_search_key,input_doi,input_citation,resolution_status,resolution_method,openalex_id,resolved_doi,resolved_title,work_identity_key,work_identity_status,canonical_seed_id_for_work,seed_ids_sharing_resolved_work,n_seed_ids_sharing_resolved_work,outcome_opened
CF01S0001,CF01:P2_CF01_GPAIR_002,10.1186/1471-2156-15-31,"Yineger, H., Schmidt, D.J., Hughes, J.M. (2014). Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia. BMC Genetics 15:31.",resolved,openalex_doi_exact,W2024956185,10.1186/1471-2156-15-31,Genetic structuring of remnant forest patches in an endangered medicinal tree in North-western Ethiopia,OPENALEX:W2024956185,resolved_unique_work,CF01S0001,CF01S0001,1,no
CF01S0002,PRIMARY:PS002,10.1186/1472-6785-13-10,Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations (2013),resolved,openalex_doi_exact,W2170962995,10.1186/1472-6785-13-10,Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations,OPENALEX:W2170962995,resolved_unique_work,CF01S0002,CF01S0002,1,no
CF01S0003,PRIMARY:PS004,10.1002/ajb2.16157,Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum (2023),resolved,openalex_doi_exact,W4327846094,10.1002/ajb2.16157,Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum,OPENALEX:W4327846094,resolved_unique_work,CF01S0003,CF01S0003,1,no
CF01S0004,PRIMARY:PS005,10.1007/s11284-007-0345-4,Pollination and reproductive success across volcanic damage on Miyake-jima (2008),resolved,openalex_doi_exact,W2059257368,10.1007/s11284-007-0345-4,Impact of volcanic activity on a plant‐pollinator module in an island ecosystem: the example of the association of Camellia japonica and Zosterops japonica,OPENALEX:W2059257368,resolved_unique_work,CF01S0004,CF01S0004,1,no
CF01S0005,PRIMARY:PS006,10.1371/journal.pone.0062696,Pollen flow and next-generation genetics across volcanic damage on Miyake-jima (2013),resolved,openalex_doi_exact,W2050171490,10.1371/journal.pone.0062696,Resilient Plant–Bird Interactions in a Volcanic Island Ecosystem: Pollination of Japanese Camellia Mediated by the Japanese White-Eye,OPENALEX:W2050171490,resolved_unique_work,CF01S0005,CF01S0005,1,no
CF01S0006,PRIMARY:PS007,10.1111/j.1469-8137.2006.01880.x,Density-dependent pollinator activity and reproductive response in fragmented urban populations (2006),resolved,openalex_doi_exact,W2169551703,10.1111/j.1469-8137.2006.01880.x,Pollination processes and the Allee effect in highly fragmented populations: consequences for the mating system in urban environments,OPENALEX:W2169551703,resolved_unique_work,CF01S0006,CF01S0006,1,no
CF01S0007,PRIMARY:PS008,10.1038/hdy.2013.3,Contemporary pollen and seed dispersal in fragmented urban patch networks (2013),resolved,openalex_doi_exact,W2090713369,10.1038/hdy.2013.3,Inferring contemporary dispersal processes in plant metapopulations: comparison of direct and indirect estimates of dispersal for the annual species Crepis sancta,OPENALEX:W2090713369,resolved_unique_work,CF01S0007,CF01S0007,1,no
CF01S0008,PRIMARY:PS010,10.1007/s10531-021-02256-x,Adult genetic structure and historical habitat connectivity (2021),resolved,openalex_doi_exact,W3185037414,10.1007/s10531-021-02256-x,Genetic and ecological consequences of recent habitat fragmentation in a narrow endemic plant species within an urban context,OPENALEX:W3185037414,resolved_unique_work,CF01S0008,CF01S0008,1,no
CF01S0009,PRIMARY:PS011,10.1002/ece3.73406,Contemporary offspring paternity and pollen flow across fragmented versus continuous habitat (2026),resolved,openalex_doi_exact,W7154064628,10.1002/ece3.73406,Exchanging Genes Within a City: Analysis of Pollen Flow Patterns in a Narrow Endemic Plant Species Threatened by Urbanisation,OPENALEX:W7154064628,resolved_unique_work,CF01S0009,CF01S0009,1,no
CF01S0010,PRIMARY:PS014,10.1111/1365-2745.14452,Habitat edges decrease plant reproductive output in fragmented landscapes (2025),resolved,openalex_doi_exact,W4404831733,10.1111/1365-2745.14452,Habitat edges decrease plant reproductive output in fragmented landscapes,OPENALEX:W4404831733,resolved_unique_work,CF01S0010,CF01S0010,1,no
CF01S0011,PRIMARY:PS015,10.1016/j.biocon.2020.108824,Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species (2020),resolved,openalex_doi_exact,W3100118178,10.1016/j.biocon.2020.108824,Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species,OPENALEX:W3100118178,resolved_unique_work,CF01S0011,CF01S0011,1,no
CF01S0012,PRIMARY:PS016,10.1016/j.biocon.2025.111044,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb (2025)",resolved,openalex_doi_exact,W4408094175,10.1016/j.biocon.2025.111044,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb",OPENALEX:W4408094175,resolved_unique_work,CF01S0012,CF01S0012,1,no
CF01S0013,SF04:SF04R02,,Cunha et al. (2011) Genetica 139: 1159-1168,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0013,unresolved_seed_identity,CF01S0013,CF01S0013,1,no
CF01S0014,SF04:SF04R04,,Chung & Nason (2007) Biological Conservation 137: 125-137,resolved,crossref_bibliographic_to_openalex_doi,W2092212341,10.1016/j.biocon.2007.01.021,Spatial demographic and genetic consequences of harvesting within populations of the terrestrial orchid Cymbidium goeringii,OPENALEX:W2092212341,resolved_unique_work,CF01S0014,CF01S0014,1,no
CF01S0015,SF04:SF04R05,,Souto & Premoli (2003) Botanical Bulletin Academia Sinica Taipei 44: 329-336,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0015,unresolved_seed_identity,CF01S0015,CF01S0015,1,no
CF01S0016,SF04:SF04R06,,Farwig et al. (2008) Conservation Genetics 9: 317-326,resolved,crossref_bibliographic_to_openalex_doi,W1995600119,10.1007/s10592-007-9343-x,"Human disturbance reduces genetic diversity of an endangered tropical tree, Prunus africana (Rosaceae)",OPENALEX:W1995600119,resolved_unique_work,CF01S0016,CF01S0016,1,no
CF01S0017,SF04:SF04R07,,Suni & Whiteley (2015) Conservation Genetics 16: 1431-1442,resolved,crossref_bibliographic_to_openalex_doi,W887491439,10.1007/s10592-015-0751-z,Genetic structure of a montane perennial plant: the influence of landscape and flowering phenology,OPENALEX:W887491439,resolved_unique_work,CF01S0017,CF01S0017,1,no
CF01S0018,SF04:SF04R08,,Korshikov et al. (2015) Cytology and Genetics 49: 102-108,resolved,crossref_bibliographic_to_openalex_doi,W2470420892,10.3103/s0095452715020048,Genetic diversity and mating system of Pinus brutia var. stankewiczii Sukacz. in small localities of Sudak (Crimea),OPENALEX:W2470420892,resolved_unique_work,CF01S0018,CF01S0018,1,no
CF01S0019,SF04:SF04R09,,Rymer et al. (2015) Heredity 115: 115-124,resolved,crossref_bibliographic_to_openalex_doi,W1970015625,10.1038/hdy.2013.73,Remnant Pachira quinata pasture trees have greater opportunities to self and suffer reduced reproductive success due to inbreeding depression,OPENALEX:W1970015625,resolved_unique_work,CF01S0019,CF01S0019,1,no
CF01S0020,SF04:SF04R10,,Jump & Peñuelas (2006) Proceedings of the National Academy of Sciences USA 103: 8096-8100,resolved,crossref_bibliographic_to_openalex_doi,W2098334721,10.1073/pnas.0510127103,Genetic effects of chronic habitat fragmentation in a wind-pollinated tree,OPENALEX:W2098334721,resolved_unique_work,CF01S0020,CF01S0020,1,no
CF01S0021,SF04:SF04R11,,White & Powell (1997) Molecular Ecology 6: 851-860,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0021,unresolved_seed_identity,CF01S0021,CF01S0021,1,no
CF01S0022,SF04:SF04R12,,Novick et al. (2003) Molecular Ecology 12: 2885-2893,resolved,crossref_bibliographic_to_openalex_doi,W2100926279,10.1046/j.1365-294x.2003.01951.x,Genetic structure of Mesoamerican populations of Big‐leaf mahogany (Swietenia macrophylla) inferred from microsatellite analysis,OPENALEX:W2100926279,resolved_unique_work,CF01S0022,CF01S0022,1,no
CF01S0023,SF04:SF04R13,,Gómez-Fernández et al. (2016) Conservation Genetics 17: 631-641,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0023,unresolved_seed_identity,CF01S0023,CF01S0023,1,no
CF01S0024,SF04:SF04R14,,Addisalem et al. (2016) Forest Ecology and Management 360: 253-260,resolved,crossref_bibliographic_to_openalex_doi,W1898750348,10.1016/j.foreco.2015.10.038,Genetic diversity and differentiation of the frankincense tree (Boswellia papyrifera (Del.) Hochst) across Ethiopia and implications for its conservation,OPENALEX:W1898750348,resolved_unique_work,CF01S0024,CF01S0024,1,no
CF01S0025,SF04:SF04R15,,Li et al. (2015) Pakistan Journal of Botany 47: 2171-2179,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0025,unresolved_seed_identity,CF01S0025,CF01S0025,1,no
CF01S0026,SF04:SF04R16,,Baucom et al. (2005) Conservation Genetics 6: 39-50,resolved,crossref_bibliographic_to_openalex_doi,W2015498851,10.1007/s10592-004-7718-9,The effect of deforestation on the genetic diversity and structure in Acer saccharum (Marsh): Evidence for the loss and restructuring of genetic variation in a natural system,OPENALEX:W2015498851,resolved_unique_work,CF01S0026,CF01S0026,1,no
CF01S0027,SF04:SF04R17,,Peñaloza-Ramírez et al. (2016) Revista Mexicana de Biodiversidad 87: 990-1001,unresolved,crossref_bibliographic_to_openalex_doi,,,,UNRESOLVED:CF01S0027,unresolved_seed_identity,CF01S0027,CF01S0027,1,no
CF01S0028,SF04:SF04R19,,Sujii et al. (2017) Biological Conservation 211: 110-116,resolved,crossref_bibliographic_to_openalex_doi,W2614985600,10.1016/j.biocon.2017.05.006,Recovery of genetic diversity levels of a Neotropical tree in Atlantic Forest restoration plantations,OPENALEX:W2614985600,resolved_unique_work,CF01S0028,CF01S0028,1,no
