programme_id,phytometer,garden_id,Urban_500,I_all_pollinator_capture_rate_per_9h,F_endpoint,F_value,F_n_lower_rows,F_success_sum,F_total_sum,independent_unit,source_exclusion_status
P2_CF01_ZURICH_2026,Daucus_carota,2,0.3929,17.8301886792,mean_seeds_per_umbel,185.625,8,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,7,0.6705,10.8,mean_seeds_per_umbel,178.333333333,12,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,8,0.4281,27.8059701493,mean_seeds_per_umbel,179.785714286,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,11,0.4344,16,mean_seeds_per_umbel,140,6,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,17,0.2096,16.4076923077,mean_seeds_per_umbel,180.071428571,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,19,0.8124,29.75,mean_seeds_per_umbel,66.5,12,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,25,0.2954,23.9802631579,mean_seeds_per_umbel,161.357142857,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,27,0.8108,11.1666666667,mean_seeds_per_umbel,164.428571429,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,28,0.6129,18.3333333333,mean_seeds_per_umbel,231.333333333,6,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,30,0.7156,25.65,mean_seeds_per_umbel,166.636363636,11,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,40,0.5337,23.6,mean_seeds_per_umbel,130.090909091,11,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,41,0.4302,49.9245283019,mean_seeds_per_umbel,191.461538462,13,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,47,0.4719,30.1666666667,mean_seeds_per_umbel,123.2,10,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,48,0.7207,6.9,mean_seeds_per_umbel,163.076923077,13,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,52,0.4968,13.5906040268,mean_seeds_per_umbel,101.777777778,9,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,53,0.8176,10,mean_seeds_per_umbel,147,9,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,56,0.2487,66.6666666667,mean_seeds_per_umbel,159.181818182,11,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,59,0.4409,21.06,mean_seeds_per_umbel,199.214285714,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,71,0.2147,28.1508196721,mean_seeds_per_umbel,167.285714286,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,73,0.6968,8.33333333333,mean_seeds_per_umbel,139.333333333,18,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,83,0.3687,14.6,mean_seeds_per_umbel,206.888888889,9,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,84,0.2562,44.8875,mean_seeds_per_umbel,177.533333333,15,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Daucus_carota,85,0.2156,12.99375,mean_seeds_per_umbel,216.642857143,14,,,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,2,0.3929,27.3396226415,fruit_set,0.268100358423,31,748,2790,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,7,0.6705,25.1538461538,fruit_set,0.318852132324,35,800,2509,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,8,0.4281,5.6511627907,fruit_set,0.308548530721,33,693,2246,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,11,0.4344,15.6666666667,fruit_set,0.266166040884,35,638,2397,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,17,0.2096,48.7572815534,fruit_set,0.312892322549,33,648,2071,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,19,0.8124,10.0465116279,fruit_set,0.207207207207,31,368,1776,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,25,0.2954,31.3910034602,fruit_set,0.321400159109,31,808,2514,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,27,0.8108,16,fruit_set,0.221273291925,38,855,3864,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,28,0.6129,21.8,fruit_set,0.23855963991,30,636,2666,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,30,0.7156,18.9669421488,fruit_set,0.308132147395,30,485,1574,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,40,0.5337,15.1318681319,fruit_set,0.228686868687,33,566,2475,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,41,0.4302,48.6382978723,fruit_set,0.301612268974,34,767,2543,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,47,0.4719,25.5435684647,fruit_set,0.259777686291,31,631,2429,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,48,0.7207,12.96,fruit_set,0.270714285714,37,758,2800,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,52,0.4968,15.4026845638,fruit_set,0.229145032883,31,662,2889,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,53,0.8176,17.5714285714,fruit_set,0.197834235735,26,475,2401,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,56,0.2487,23.0855018587,fruit_set,0.26618705036,30,481,1807,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,59,0.4409,29.16,fruit_set,0.381792011515,33,1061,2779,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,71,0.2147,27.3802816901,fruit_set,0.237986270023,35,728,3059,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,73,0.6968,21.5,fruit_set,0.198319327731,27,590,2975,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,83,0.3687,15.3,fruit_set,0.264241263763,35,552,2089,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,84,0.2562,20.1355932203,fruit_set,0.329658605974,35,927,2812,garden,included_common_frame
P2_CF01_ZURICH_2026,Raphanus_sativus,85,0.2156,41.2641509434,fruit_set,0.324127906977,37,669,2064,garden,included_common_frame
P2_CF01_ZURICH_2026,Onobrychis_viciifolia,2,0.3929,2.03773584906,fruit_set,0.129380053908,3,96,742,garden,included_common_frame
