species,site,crop,transect,n_individual_rows,n_treat_Bag,n_treat_BagSup,n_treat_OP,n_treat_OPSupp
GORO,Maya,Canola,Core,40,10,10,10,10
GORO,Maya,Canola,Edge,40,10,10,10,10
GORO,MayaPrivate,Canola,Core,40,10,10,10,10
GORO,MayaPrivate,Canola,Edge,40,10,10,10,10
GORO,Milton,Wheat,Core,40,10,10,10,10
GORO,Milton,Wheat,Edge,40,10,10,10,10
GORO,WA12427,Canola,Core,40,10,10,10,10
GORO,WA12427,Canola,Edge,40,10,10,10,10
GORO,WA12427,Wheat,Core,40,10,10,10,10
GORO,WA12427,Wheat,Edge,40,10,10,10,10
GORO,XantippeEast,Wheat,Core,40,10,10,10,10
GORO,XantippeEast,Wheat,Edge,40,10,10,10,10
LARO,Buntine,Canola,Core,40,10,10,10,10
LARO,Buntine,Canola,Edge,40,10,10,10,10
LARO,Buntine,Wheat,Core,40,10,10,10,10
LARO,Buntine,Wheat,Edge,40,10,10,10,10
LARO,MayaPrivate,Canola,Core,40,10,10,10,10
LARO,MayaPrivate,Canola,Edge,40,10,10,10,10
LARO,Milton,Wheat,Core,40,10,10,10,10
LARO,Milton,Wheat,Edge,40,10,10,10,10
LARO,WA12427,Canola,Core,40,10,10,10,10
LARO,WA12427,Canola,Edge,40,10,10,10,10
LARO,WA12427,Wheat,Core,40,10,10,10,10
LARO,WA12427,Wheat,Edge,40,10,10,10,10
LARO,XantippeEast,Wheat,Core,40,10,10,10,10
LARO,XantippeEast,Wheat,Edge,40,10,10,10,10
LARO,XantippeTank,Canola,Core,40,10,10,10,10
LARO,XantippeTank,Canola,Edge,40,10,10,10,10
POAR,Buntine,Canola,Core,40,10,10,10,10
POAR,Buntine,Canola,Edge,40,10,10,10,10
POAR,Buntine,Wheat,Core,40,10,10,10,10
POAR,Buntine,Wheat,Edge,40,10,10,10,10
POAR,MayaPrivate,Canola,Core,40,10,10,10,10
POAR,MayaPrivate,Canola,Edge,40,10,10,10,10
POAR,WA12427,Canola,Core,40,10,10,10,10
POAR,WA12427,Canola,Edge,40,10,10,10,10
POAR,WA12427,Wheat,Core,40,10,10,10,10
POAR,WA12427,Wheat,Edge,40,10,10,10,10
POAR,XantippeEast,Wheat,Core,40,10,10,10,10
POAR,XantippeEast,Wheat,Edge,40,10,10,10,10
POGN,Buntine,Canola,Core,40,10,10,10,10
POGN,Buntine,Canola,Edge,40,10,10,10,10
POGN,Buntine,Wheat,Core,40,10,10,10,10
POGN,Buntine,Wheat,Edge,40,10,10,10,10
POGN,Latham,Wheat,Edge,40,10,10,10,10
POGN,LathamPrivate,Wheat,Edge,40,10,10,10,10
POGN,Maya,Wheat,Core,40,10,10,10,10
POGN,WA12427,Canola,Core,40,10,10,10,10
POGN,WA12427,Canola,Edge,40,10,10,10,10
POGN,WA12427,Wheat,Core,40,10,10,10,10
POGN,XantippeTank,Canola,Core,40,10,10,10,10
POGN,XantippeTank,Canola,Edge,40,10,10,10,10
