dist.c,Paper,Registro,ID,dist.code,prom.cohorte,species,family,life.form,cohort,marker,mating.sys,pol.c,pol.v,disp.c,disp.v,n,Me,Se,Mc,Sc
,,,U,U,,,,,,,,,,,,22,2.5541669999999999E-2,2.7761603999999999E-2,2.5541669999999999E-2,2.7761603999999999E-2
,,,D,D,,,,,,,,,,,,28,1.5759260000000001E-2,8.9162229999999992E-3,2.5541669999999999E-2,2.7761603999999999E-2
,,,FL,FL,,,,,,,,,,,,17,3.462722E-2,3.4586411999999997E-2,2.5541669999999999E-2,2.7761603999999999E-2
,,,FM,FM,,,,,,,,,,,,20,2.145E-2,1.7489434000000002E-2,2.5541669999999999E-2,2.7761603999999999E-2
,,,FH,FH,,,,,,,,,,,,29,3.4468520000000002E-2,2.2074709000000001E-2,2.5541669999999999E-2,2.7761603999999999E-2
U,11,12,P11-Sp1,P11-Sp1-U,N,Erythrophleum suaveolens,Fabaceae,tree/shrub,adult,microsatellites,mixed,Bs,In,Ab-s,Gr,2,5.7000000000000002E-3,5.6568500000000002E-4,2.5541669999999999E-2,2.7761603999999999E-2
U,15,25,P15-Sp10,P15-Sp10-U,N,Vouacapoua americana,Fabaceae,tree/shrub,non-defined mixed,microsatellites,NA,Bs,In,T-s,Ro,2,3.15E-2,2.7577164000000001E-2,2.5541669999999999E-2,2.7761603999999999E-2
U,17,28,P17-Sp1,P17-Sp1-U,N,Fagus sylvatica,Fagaceae,tree/shrub,non-adult,AFLP,m.out,Ab,Wi,Ab-s,Gr,4,1.3525000000000001E-2,7.2761600000000003E-3,2.5541669999999999E-2,2.7761603999999999E-2
U,65,89,P65-Sp1,P65-Sp1-U,N,Orchis mascula,Orchidaceae,herb,adult,AFLP,m.out,Bs,In,Ab-l,Wi,2,1.115E-2,2.3334520000000002E-3,2.5541669999999999E-2,2.7761603999999999E-2
U,75,99,P75-Sp1,P75-Sp1-U,N,Syagrus romanzoffiana,Arecaceae,tree/shrub,non-adult,microsatellites,m.out,Bs,In,Mix-l,Un,3,1.4333333E-2,1.0115994E-2,2.5541669999999999E-2,2.7761603999999999E-2
