garden_id,phytometer,raw_all_pollinator_count,sampling_effort_min,capture_rate_per_9h,source_exclusion_status
2,Daucus_carota,105,3180,17.8301886792453,eligible
2,Raphanus_sativus,161,3180,27.3396226415094,eligible
2,Onobrychis_viciifolia,12,3180,2.03773584905660,eligible
2,Symphytum_officinale,9,3180,1.52830188679245,eligible
7,Daucus_carota,30,1500,10.8000000000000,eligible
7,Raphanus_sativus,109,2340,25.1538461538462,eligible
7,Onobrychis_viciifolia,0,1380,0.00000000000000,eligible
7,Symphytum_officinale,6,1380,2.34782608695652,eligible
8,Daucus_carota,138,2680,27.8059701492537,eligible
8,Raphanus_sativus,27,2580,5.65116279069767,eligible
8,Onobrychis_viciifolia,4,1500,1.44000000000000,eligible
8,Symphytum_officinale,6,2580,1.25581395348837,eligible
11,Daucus_carota,64,2160,16.0000000000000,eligible
11,Raphanus_sativus,94,3240,15.6666666666667,eligible
11,Onobrychis_viciifolia,2,3240,0.333333333333333,eligible
11,Symphytum_officinale,7,3240,1.16666666666667,eligible
17,Daucus_carota,79,2600,16.4076923076923,eligible
17,Raphanus_sativus,186,2060,48.7572815533981,eligible
17,Onobrychis_viciifolia,5,2600,1.03846153846154,eligible
17,Symphytum_officinale,12,2060,3.14563106796116,eligible
19,Daucus_carota,119,2160,29.7500000000000,eligible
19,Raphanus_sativus,48,2580,10.0465116279070,eligible
19,Onobrychis_viciifolia,1,2580,0.209302325581395,eligible
19,Symphytum_officinale,20,3660,2.95081967213115,eligible
25,Daucus_carota,135,3040,23.9802631578947,eligible
25,Raphanus_sativus,168,2890,31.3910034602076,eligible
25,Onobrychis_viciifolia,4,2890,0.747404844290658,eligible
25,Symphytum_officinale,12,3410,1.90029325513196,eligible
27,Daucus_carota,67,3240,11.1666666666667,eligible
27,Raphanus_sativus,128,4320,16.0000000000000,eligible
27,Onobrychis_viciifolia,3,2700,0.600000000000000,eligible
27,Symphytum_officinale,8,4320,1.00000000000000,eligible
28,Daucus_carota,55,1620,18.3333333333333,eligible
28,Raphanus_sativus,109,2700,21.8000000000000,eligible
28,Onobrychis_viciifolia,1,1080,0.500000000000000,eligible
28,Symphytum_officinale,8,2700,1.60000000000000,eligible
30,Daucus_carota,114,2400,25.6500000000000,eligible
30,Raphanus_sativus,85,2420,18.9669421487603,eligible
30,Onobrychis_viciifolia,5,2780,0.971223021582734,eligible
