garden_id,Urban_500,source_exclusion_status
2,0.3929,eligible
7,0.6705,eligible
8,0.4281,eligible
11,0.4344,eligible
17,0.2096,eligible
19,0.8124,eligible
25,0.2954,eligible
27,0.8108,eligible
28,0.6129,eligible
30,0.7156,eligible
39,0.1908,source_excluded_low_sampling
40,0.5337,eligible
41,0.4302,eligible
47,0.4719,eligible
48,0.7207,eligible
52,0.4968,eligible
53,0.8176,eligible
56,0.2487,eligible
59,0.4409,eligible
71,0.2147,eligible
73,0.6968,eligible
83,0.3687,eligible
84,0.2562,eligible
85,0.2156,eligible
