ID,Citation,Reference
P11-Sp1,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101"
P13-Sp1,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292"
P15-Sp10,Hardy et al. 2006,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x"
P17-Sp1,Jump et al. 2012,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1"
P19-Sp1,Kyndt et al. 2009,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266"
P20-Sp1,Lemos et al. 2015,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7"
P21-Sp1,Lind-Riehl & Gailing 2015,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y"
P23-Sp1,Nakagawa et al. 2010,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y"
P25-Sp1,Oddou-Muratorio et al. 2010,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001"
P31-Sp1,Trapnell et al. 2008,"Trapnell, D.W., Schmidt, J.P., Hamrick, J.L., 2008. Spatial genetic structure of the southeastern North American endemic, Ceratiola ericoides (Empetraceae). J. Hered. 99, 604–609. https://doi.org/10.1093/jhered/esn043"
