canonical_identity_key,source_frames,source_ids,citation,species,metadata_layers,sf06_responses,land_use_factors,sf05_title_method_hints,existing_egwee_programmes,screen_class,screen_action,screening_status,outcome_opened
SF04:SF04R02,SF04,SF04:SF04R02,Cunha et al. (2011) Genetica 139: 1159-1168,Dalbergia nigra,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R04,SF04,SF04:SF04R04,Chung & Nason (2007) Biological Conservation 137: 125-137,Cymbidium goeringii,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R05,SF04,SF04:SF04R05,Souto & Premoli (2003) Botanical Bulletin Academia Sinica Taipei 44: 329-336,Alstroemeria aurea,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R06,SF04,SF04:SF04R06,Farwig et al. (2008) Conservation Genetics 9: 317-326,Prunus africana,G_adult,,,,P2_CF01_GPAIR_003,existing_egwee_programme,do_not_recruit_as_new,linked_existing_no_new_recruitment,no
SF04:SF04R07,SF04,SF04:SF04R07,Suni & Whiteley (2015) Conservation Genetics 16: 1431-1442,ipomosis aggregata,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R08,SF04,SF04:SF04R08,Korshikov et al. (2015) Cytology and Genetics 49: 102-108,Pinus brutia,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R09,SF04,SF04:SF04R09,Rymer et al. (2015) Heredity 115: 115-124,Pachira quinata,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R10,SF04,SF04:SF04R10,Jump & Peñuelas (2006) Proceedings of the National Academy of Sciences USA 103: 8096-8100,Fagus sylvatica,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R11,SF04,SF04:SF04R11,White & Powell (1997) Molecular Ecology 6: 851-860,Swietenia humilis,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R12,SF04,SF04:SF04R12,Novick et al. (2003) Molecular Ecology 12: 2885-2893,Swietenia macrophylla,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R13,SF04,SF04:SF04R13,Gómez-Fernández et al. (2016) Conservation Genetics 17: 631-641,Lepidium subulatum,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R14,SF04,SF04:SF04R14,Addisalem et al. (2016) Forest Ecology and Management 360: 253-260,Boswellia papyrifera,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R15,SF04,SF04:SF04R15,Li et al. (2015) Pakistan Journal of Botany 47: 2171-2179,Sauvagesia rhodoleuca,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R16,SF04,SF04:SF04R16,Baucom et al. (2005) Conservation Genetics 6: 39-50,Acer saccharum,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R17,SF04,SF04:SF04R17,Peñaloza-Ramírez et al. (2016) Revista Mexicana de Biodiversidad 87: 990-1001,Chamaedorea alternans,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R19,SF04,SF04:SF04R19,Sujii et al. (2017) Biological Conservation 211: 110-116,Centrolobium tomentosum,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R21,SF04,SF04:SF04R21,Millán-Aguilar et al. (2016) Forests 7: art197,Avicennia germinans,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R22,SF04,SF04:SF04R22,Otao et al. (2016) Applications in Plant Sciences 4: art1500110,Indigofera pseudotinctoria,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R23,SF04,SF04:SF04R23,Ahrens & James (2016) Conservation Genetics 17: 891-901,Comesperma polygaloides,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R24,SF04,SF04:SF04R24,Lara-Romero et al. (2016) Heredity 116: 417-423,Silene ciliata,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R25,SF04,SF04:SF04R25,Aavik et al. (2017) Biological Conservation 210: 125-135,Rhinanthus osiliensis,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R26,SF04,SF04:SF04R26,Melo & Franceschinelli (2016) Journal of Tropical Ecology 32: 135-145,Cabralea canjerana,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R27,SF04,SF04:SF04R27,Matesanz et al. (2017) Frontiers in Plant Science 8: art843,Centaurea hyssopifolia,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R28,SF04,SF04:SF04R28,Suárez-Montes et al. (2016) PeerJ 4: e2764,Aphelandra aurantiaca,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R29,SF04,SF04:SF04R29,Astuti et al. (2017) Nature Conservation 22: 169-190,Cistus laurifolius,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R30,SF04,SF04:SF04R30,Bupp et al. (2017) Conservation Genetics 18: 77-88,Lupinus aridorum,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R31,SF04,SF04:SF04R31,Crichton et al. (2016) Conservation Genetics 17: 547-556,Melampyrum sylvaticum,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R32,SF04,SF04:SF04R32,Martínez-Natarén et al. (2017) Journal of Tropical Ecology 33: 285-294,Manikara zapota,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R33,SF04,SF04:SF04R33,Shiga et al. (2017) Journal of Plant Research 130: 83-93,Nuphar submersa,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R34,SF04,SF04:SF04R34,Stevens et al. (2015) New Zealand Journal of Ecology 39: 190-197,Melicytus ramiflorus,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R36,SF04,SF04:SF04R36,White et al. (1999) Molecular Ecology 8: 1899-1909,Swietenia humilis Zucc.,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R37,SF04,SF04:SF04R37,Tunaitiene et al. (2017) Biochemical Systematics and Ecology 70: 294-303,Erigeron annuus,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF04:SF04R38,SF04,SF04:SF04R38,Heinicke et al. (2016) Flora 224: 42-49.,Stipa pennata,G_adult,,,,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:1,SF05,SF05:1,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",Olea europaea spp europaea var sylvestris,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:10,SF05,SF05:10,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",Baillonella toxisperma,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:11,SF05,SF05:11,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",Erythrophleum suaveolens,C;D;G_adult,,,C_screen;D_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:13,SF05,SF05:13,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Manikara maxima,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:15,SF05,SF05:15,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",Dycorynia guianensis; Moronobea coccinea; Sextonia rubra; Symphonia globulifera; Vouacapoua americana,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:16,SF05,SF05:16,"Heer, K., Kalko, E.K.V., Albrecht, L., García-Villacorta, R., Staeps, F.C., Herre, E.A., Dick, C.W., 2015. Spatial scales of genetic structure in free-standing and strangler figs (Ficus, Moraceae) inhabiting neotropical forests. PLoS One 10, 1–18. https://doi.org/10.1371/journal.pone.0133581",Ficus yoponensis,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:17,SF05,SF05:17,"Jump, A.S., Rico, L., Coll, M., Peñuelas, J., 2012. Wide variation in spatial genetic structure between natural populations of the European beech (Fagus sylvatica) and its implications for SGS comparability. Heredity (Edinb). 108, 633–639. https://doi.org/10.1038/hdy.2012.1",Fagus sylvatica,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:19,SF05,SF05:19,"Kyndt, T., Assogbadjo, A.E., Hardy, O.J., Kaka’Ï, R.G., Sinsin, B., Van Damme, P., Gheysen, G., 2009. Spatial genetic structuring of baobab (Adansonia digitata, Malvaceae) in the traditional agroforestry systems of west africa. Am. J. Bot. 96, 950–957. https://doi.org/10.3732/ajb.0800266",Adansonia digitata,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:2,SF05,SF05:2,"Berens, D.G., Braun, C., Gonzalez-Martinez, S.C., Griebeler, E.M., Nathan, R., Böhning-Gaese, K., 2014. Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana. Heredity (Edinb). 113, 401–407. https://doi.org/10.1038/hdy.2014.40",Prunus africana,G_adult;G_offspring,,,G_adult_FSGS;G_offspring_screen,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:20,SF05,SF05:20,"Lemos, R.P.M., D’Oliveira, C.B., Stefenon, V.M., 2015. Genetic structure and internal gene flow in populations of Schinus molle (Anacardiaceae) in the Brazilian Pampa. Tree Genet. Genomes 11. https://doi.org/10.1007/s11295-015-0885-7",Schinus molle,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:21,SF05,SF05:21,"Lind-Riehl, J., Gailing, O., 2015. Fine-scale spatial genetic structure of two red oak species, Quercus rubra and Quercus ellipsoidalis. Plant Syst. Evol. 301, 1601–1612. https://doi.org/10.1007/s00606-014-1173-y",Quercus ellipsoidalis; Quercus rubra,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:22,SF05,SF05:22,"Mizuki, I., Ishida, K., Tani, N., Tsumura, Y., 2010. Fine-scale spatial structure of genets and sexes in the dioecious plant Dioscorea japonica, which disperses by both bulbils and seeds. Evol. Ecol. 24, 1399–1415. https://doi.org/10.1007/s10682-010-9396-z.",Dioscorea japonica,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:23,SF05,SF05:23,"Nakagawa, M., 2010. Fine-scale genetic structure within plots of Polygala reinii (Polygalaceae) having an ant-dispersal seed. J. Plant Res. 123, 355–362. https://doi.org/10.1007/s10265-009-0276-y",Polygala reinii,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:24,SF05,SF05:24,"Oddou-Muratorio, S., Demesure-Musch, B., Pélissier, R., Gouyon, P.H., 2004. Impacts of gene flow and logging history on the local genetic structure of a scattered tree species, Sorbus torminalis L. Crantz. Mol. Ecol. 13, 3689–3702. https://doi.org/10.1111/j.1365-294X.2004.02373.x",Sorbus torminalis,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:25,SF05,SF05:25,"Oddou-Muratorio, S., Bontemps, A., Klein, E.K., Chybicki, I., Vendramin, G.G., Suyama, Y., 2010. Comparison of direct and indirect genetic methods for estimating seed and pollen dispersal in Fagus sylvatica and Fagus crenata. For. Ecol. Manage. 259, 2151–2159. https://doi.org/10.1016/j.foreco.2010.03.001",Fagus crenata; Fagus sylvatica,C;G_adult,,,C_screen;G_adult_FSGS,,other_multilayer_metadata_hint,screen_after_primary_if_queue,pending_outcome_blind_design_screen,no
SF05:27,SF05,SF05:27,"Sant’Anna, C.S., Sebbenn, A.M., Klabunde, G.H.F., Bittencourt, R., Nodari, R.O., Mantovani, A., dos Reis, M.S., 2013. Realized pollen and seed dispersal within a continuous population of the dioecious coniferous Brazilian pine [Araucaria angustifolia (Bertol.) Kuntze]. Conserv. Genet. 14, 601–613. https://doi.org/10.1007/s10592-013-0451-5",Araucaria angustifolia,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:28,SF05,SF05:28,"Schroeder, J.W., Tran, H.T., Dick, C.W., 2014. Fine scale spatial genetic structure in Pouteria reticulata (Engl.) Eyma (Sapotaceae), a dioecious, vertebrate dispersed tropical rain forest tree species. Glob. Ecol. Conserv. 1, 43–49. https://doi.org/10.1016/j.gecco.2014.07.002",Pouteria reticulata,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:29,SF05,SF05:29,"Soto, A., Lorenzo, Z., Gil, L., 2007. Differences in fine-scale genetic structure and dispersal in Quercus ilex L. and Q. suber L.: Consequences for regeneration of mediterranean open woods. Heredity (Edinb). 99, 601–607. https://doi.org/10.1038/sj.hdy.6801007",Quercus ilex; Quercus suber,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:30,SF05,SF05:30,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",Psychothria horizontalis; Psychothria marginata; Psychotria acuminata; Psychotria hoffmannseggiana,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
SF05:31,SF05,SF05:31,"Theim, T.J., Shirk, R.Y., Givnish, T.J., 2014. Spatial genetic structure in four understory Psychotria species (Rubiaceae) and implications for tropical forest diversity. Am. J. Bot. 101, 1189–1199. https://doi.org/10.3732/ajb.1300460",Ceratiola ericoides,G_adult,,,G_adult_FSGS,,single_layer_or_no_pair_hint,retain_in_systematic_universe_no_immediate_pair_screen,retained_no_primary_design_screen_yet,no
