population,habitat,developmental_stage,N,Ho,Ho_locus_sd,Fis,Fis_locus_sd,source_location
Chamela,CON,adult,210,0.436,0.07,0.083,0.115,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Chamela,CON,juvenile,144,0.418,0.07,0.113,0.11,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Chamela,CON,seed,127,0.347,0.09,0.059,0.08,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Careyes,CON,adult,98,0.433,0.06,0.194,0.102,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Careyes,CON,juvenile,28,0.512,0.08,0.007,0.124,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Careyes,CON,seed,150,0.577,0.06,0.060,0.041,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Ranchitos,FRA,adult,51,0.432,0.05,0.230,0.06,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Ranchitos,FRA,juvenile,22,0.293,0.07,0.382,0.13,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Ranchitos,FRA,seed,150,0.269,0.026,0.474,0.10,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Nacastillo,FRA,adult,62,0.371,0.06,0.251,0.08,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Nacastillo,FRA,juvenile,25,0.281,0.08,0.446,0.15,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Nacastillo,FRA,seed,150,0.328,0.02,0.343,0.09,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Mesa,FRA,adult,61,0.315,0.04,0.446,0.05,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Mesa,FRA,juvenile,23,0.242,0.06,0.556,0.12,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
Mesa,FRA,seed,150,0.335,0.01,0.322,0.12,"Cristobal-Perez et al. 2021 Supplement Appendix B (mmc1.docx)"
