candidate_openalex_id,doi,title,publication_date,publication_year,work_type,first_author,source_name,is_retracted_metadata,citation_directions,source_seed_ids,n_source_seeds,candidate_already_seed,cutoff_status,screening_status,outcome_opened
W1000216144,10.1007/978-3-642-54694-5_9,Die ökosystemare Bedeutung von Biodiversität,2014-01-01,2014,book-chapter,Rüdiger Wittig,,no,forward_citation,CF01S0179;CF01S0233,2,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1003662921,10.25959/23210321,Germination issues in the cultivation of Echinacea angustifolia in Tasmania,2011-01-01,2011,dissertation,Siow-Leng Cover,Figshare,no,forward_citation,CF01S0331,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W100750458,10.1007/978-94-009-4812-9_22,"Seed shadows, seed predation and the advantages of dispersal",1986-01-01,1986,book-chapter,Rodolfo Dirzo,Tasks for vegetation science,no,backward_reference,CF01S0205,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W100750646,10.1071/pc940214,Landscape-scale disturbances and regeneration in semi-arid woodlands of southwestern Australia,1994-09-10,1994,article,Colin J. Yates,Pacific Conservation Biology,no,backward_reference,CF01S0241;CF01S0345,2,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1007787951,10.1016/s0254-6299(16)31064-x,Pollination of Ziziphus mucronata subsp. mucronata (Rhamnaceae),1990-06-01,1990,article,P.C. Zietsman,South African Journal of Botany,no,backward_reference,CF01S0252,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1009333059,,Seed dispersal by vertebrates,2002-01-01,2002,book-chapter,Carlos Miguel Herrera,DIGITAL.CSIC (Spanish National Research Council (CSIC)),no,backward_reference,CF01S0005;CF01S0358,2,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W101223995,10.1007/978-1-4020-4436-6_10,Integrating Population Genetics with Landscape Ecology to Infer Spatio-temporal Processes,2007-01-01,2007,book-chapter,Rolf Holderegger,Landscape series,no,forward_citation,CF01S0059,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1012566107,10.47749/t/unicamp.2003.321261,"Predação e sobrevivencia de sementes de araucaria angustifolia (Bert.) Kuntze em areas de mata nativa e plantação de Pinus eliotti na Floresta Nacional de São Francisco de Paula, RS",2003-08-09,2003,dissertation,Andrea Lamberts,,no,backward_reference,CF01S0061,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1013311227,10.2174/1874839201004010028,"Contraction of Wildlife Dispersal Area in Olgulului – Ololorashi Group Ranch Around Amboseli National Park, Kenya",2010-09-06,2010,article,Moses Makonjio Okello,The Open Conservation Biology Journal,no,forward_citation,CF01S0168;CF01S0169,2,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
W1013620499,,The influence of indirect effects of large herbivores on the life history and population dynamics of an unpalatable forest herb species,2015-06-19,2015,article,Christopher D. Heckel,D-Scholarship@Pitt (University of Pittsburgh),no,forward_citation,CF01S0233,1,no,eligible_through_cutoff,pending_title_abstract_methods_screen,no
