cf01_seed_id,seed_canonical_search_key,seed_openalex_id,direction,candidate_openalex_id,candidate_cutoff_status,candidate_already_seed,outcome_opened
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1535406756,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1538779688,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1555981575,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1570887674,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1572389311,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1709476215,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1811495593,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1832287255,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1905487223,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1907917033,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1908896570,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1941489802,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1969163178,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1974595975,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1980492294,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1990074132,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1992638901,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W1995600119,eligible_through_cutoff,yes,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W2001436007,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W2004444667,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W2018287092,eligible_through_cutoff,no,no
CF01S0001,CF01:P2_CF01_GPAIR_002,W2024956185,backward_reference,W2024571500,eligible_through_cutoff,no,no
