source_frame,source_paper_id,citation,year,first_author,reference,doi,species,n_species,n_population_rows,source_selected_systematic_review_65,source_meta_analysis_31,source_meta_flag_raw,source_outcome_filter_status,existing_egwee_study_ids,countries,biomes,life_forms,life_cycles,mating_systems,self_incompatibility,pollination_classes,pollination_vectors,seed_dispersal_classes,seed_dispersal_vectors,cohorts,disturbance_classes,disturbance_codes,time_since_disturbance,title_method_screen_hints,potential_multilayer_screen,screening_status,screening_note
SF05,1,Beghe et al. 2017,2017,Beghe,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",10.1093/aob/mcw246,Olea europaea spp europaea var sylvestris,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Spain,Mediterranean forest,tree,Perennial,m.out,SI,Ab,Wi,Mix-l,Bi,adult,U,P1-Sp1-U,,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,2,Berens et al. 2014,2014,Berens,"Berens, D.G., Braun, C., Gonzalez-Martinez, S.C., Griebeler, E.M., Nathan, R., Böhning-Gaese, K., 2014. Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana. Heredity (Edinb). 113, 401–407. https://doi.org/10.1038/hdy.2014.40",10.1038/hdy.2014.40,Prunus africana,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Kenya,Tropical deciduous rainforest,tree,Perennial,m.out,,Bs,In,Mix-l,Pr,adult,FM,P2-Sp1-FM,>100 y,G_adult_FSGS;G_offspring_screen,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,4,Bizoux et al. 2009,2009,Bizoux,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",10.1111/j.1365-294x.2009.04365.x,Milicia excelsa,1,2,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Cameroon,Tropical,tree,Perennial,m.out,,Ab,Wi,Mix-l,Ba,non-defined mixed,FM,P4-Sp1-FM,decades,C_screen;D_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,8,Cloutier et al. 2007,2007,Cloutier,"Cloutier, D., Hardy, O.J., Caron, H., Ciampi, A.Y., Degen, B., Kanashiro, M., Schoen, D.J., 2007. Low Inbreeding and High Pollen Dispersal Distances in Populations of Two Amazonian Forest Tree Species. Biotropica 39, 406–415. https://doi.org/10.1111/j.1744-7429.2007.00266.x",10.1111/j.1744-7429.2007.00266.x,Carapa guianensis;Sextonia rubra,2,2,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil;French Guiane,Tropical deciduous rainforest;Tropical forest,tree,Perennial,m.out,SC,Bs,In,Ab-s;Mix-l,Bi;Gr,adult,D,P8-Sp1-D;P8-Sp2-D,uns,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,9,Dodd et al. 2013,2013,Dodd,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",10.1093/jhered/ess080,Notholithocarpus densiflorus,1,4,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,USA,Forest,tree/shrub,Perennial,m.out,,Bs,In,Ab-s,Gr,non-defined mixed,D,P9-Sp1-D,>50 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,10,Duminil et al. 2016a,2016,Duminil,"Duminil, J., Mendene Abessolo, D.T., Ndiade Bourobou, D., Doucet, J.L., Loo, J., Hardy, O.J., 2016. High selfing rate, limited pollen dispersal and inbreeding depression in the emblematic African rain forest tree Baillonella toxisperma – Management implications. For. Ecol. Manage. 379, 20–29. https://doi.org/10.1016/j.foreco.2016.08.003",10.1016/j.foreco.2016.08.003,Baillonella toxisperma,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Gabon,Rainforest,tree,Perennial,mixed,SC,Bs,In,Mix-l,"El,Pr,Ro",defined mixed,D,P10-Sp1-D,>20 y,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,11,Duminil et al. 2016,2016,Duminil,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.101",10.1038/hdy.2015.101,Erythrophleum suaveolens,1,3,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Cameroon;DRC;Gabon,Semi-evergreen evergreen rainforest,tree,Perennial,mixed,SC,Bs,In,Ab-s,Gr,adult,D;U,P11-Sp1-D;P11-Sp1-U,>10 y,C_screen;D_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,13,Ganzhorn et al. 2015,2015,Ghanzorn,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",10.1017/s0266467415000292,Manikara maxima,1,3,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,Brazil,Atlantic forest,tree,Perennial,m.out,,Bs,In,Mix-l,"Ba,Bi,Pr",adult,FL;FM,P13-Sp1-FL;P13-Sp1-FM,>30 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,15,Hardy et al. 2006,2006,Hardy,"Hardy, O.J., Maggia, L., Bandou, E., Breyne, P., Caron, H., Chevallier, M.H., Doligez, A., Dutech, C., Kremer, A., Latouche-Hallé, C., Troispoux, V., Veron, V., Degen, B., 2006. Fine-scale genetic structure and gene dispersal inferences in 10 Neotropical tree species. Mol. Ecol. 15, 559–571. https://doi.org/10.1111/j.1365-294X.2005.02785.x",10.1111/j.1365-294x.2005.02785.x,Dycorynia guianensis;Moronobea coccinea;Sextonia rubra;Symphonia globulifera;Vouacapoua americana,5,7,yes,yes,yes,retained_after_source_FSGS_significance_and_outlier_filters,,French Guiane,Tropical forest,tree,Perennial,,,Bmx;Bs,Bi;In,Mix-l;T-s,"Ba;Bi;Ro;Ro,Wi",non-defined mixed,U,P15-Sp10-U;P15-Sp3-U;P15-Sp6-U;P15-Sp7-U;P15-Sp8-U,,C_screen;G_adult_FSGS,yes,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
SF05,16,Heer et al. 2015,2015,Heer,"Heer, K., Kalko, E.K.V., Albrecht, L., García-Villacorta, R., Staeps, F.C., Herre, E.A., Dick, C.W., 2015. Spatial scales of genetic structure in free-standing and strangler figs (Ficus, Moraceae) inhabiting neotropical forests. PLoS One 10, 1–18. https://doi.org/10.1371/journal.pone.0133581",10.1371/journal.pone.0133581,Ficus yoponensis,1,1,yes,no,no,retained_after_source_FSGS_significance_and_outlier_filters,,Republic of Panama,Moist tropical forest,tree,Perennial,,,Bs,In,Mix-l,Ba,non-defined mixed,FM,P16-Sp2-FM,>150 y,G_adult_FSGS,no,bibliographic_materialized_not_effect_screened,Hints are title/method metadata only; no C/I/F/G_offspring effect eligibility or direction has been opened.
