Paper,ID,species,family,life.fo.cat,life.form,life.cycle,foliage,rep.sys,mating.sys,S.I.,outcross.rate,out.rate.unit,selfing.rate,t.pol,pol.clas,pol.v,t.disp,d.clas,d.vec,country,biome,clim.reg,meta,cohort.mean,pop.name,cohort.grp,cohort,Pob.desc,density,dsensity.unit,sampling.type,N,marker,no.markers,FSGS.significance,F(1),bF,Sp,Sp (SE),f o F,FST,FIS ,Ho,He,AR,Kinship.coefficient,Kinship.coefficient (citation),time.w/o.dist,time.from.dist,disturbance,dist.desc,dist.clas,dist.code,logging,experimental.fragmentation,opening.clearings,agriculture,farming,urbanization,mining,construction,roads,fire,silviculture,agrofoestry,plantations,fertilizers/pesticides,conserved,year,first.author,citation,reference,Sp,F1,B,correlogram,data
1,1,Olea europaea spp europaea var sylvestris,Oleaceae,tree/shrub,tree,Perennial,Evergreen,Monoecious,m.out,SI,NA,NA,NA,Abiotic,Ab,Wi,Biotic,Mix-l,Bi,Spain,Mediterranean forest,Temperate,N,N,P1,adult,adult,undisturbed forest of olive and Quercus,NA,NA,exhaustive adults (6 ha),225,microsatellites,8,Y,NA,NA,4.8999999999999998E-3,4.5999999999999999E-3,NA,NA,-1.38E-2,0.8226,0.81440000000000001,NA,Kinship coefficient,Loiselle et al 1995,NA,NA,und,undisturbed,U,P1-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2017,Beghe,Beghe et al. 2017,"Beghé, D., Piotti, A., Satovic, Z., De La Rosa, R., Belaj, A., 2017. Pollen-mediated gene flow and fine-scale spatial genetic structure in Olea europaea subsp. europaea var. sylvestris. Ann. Bot. 119, 671–679. https://doi.org/10.1093/aob/mcw246",Y,N,N,Y,N
2,2,Prunus africana,Rosaceae,tree/shrub,tree,Perennial,Evergreen,Monoecious,m.out,NA,NA,NA,5 to 13,Biotic,Bs,In,Biotic,Mix-l,Pr,Kenya,Tropical deciduous rainforest,Tropical,N,N,P1.5,adult,adult,non-fragmented block surrounded by agriculture matrix,2.2000000000000001E-3,ind/m2,transects (22)  E to W,260,microsatellites,6,Y,7.0000000000000007E-2,-1.2999999999999999E-2,1.4E-2,NA,NA,NA,0.08,0.77,0.83,20.3,Kinship coefficient,Hardy & Vekemans 2002,<100 y,>100 y,log+agr,logging by clearing (before protection). Logging and bark harvesting surrounded by agriculture matrix,FM,P2-Sp1-FM,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2014,Berens,Berens et al. 2014,"Berens, D.G., Braun, C., Gonzalez-Martinez, S.C., Griebeler, E.M., Nathan, R., Böhning-Gaese, K., 2014. Fine-scale spatial genetic dynamics over the life cycle of the tropical tree Prunus africana. Heredity (Edinb). 113, 401–407. https://doi.org/10.1038/hdy.2014.40",N,Y,Y,Y,doi:10.5061/dryad.39fs7.
4,4,Milicia excelsa,Moraceae,tree/shrub,tree,Perennial,Deciduous,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Biotic,Mix-l,Ba,Cameroon,Tropical,Tropical,Y,N,P1,non-defined mixed,non-defined mixed,"Mindorou: moist semi-evergreen forest, high cover canopy",4.9000000000000004,tree/km2,near roads accesible by vehicule,104,microsatellites,8,Y,2.1999999999999999E-2,-6.3E-3,6.3E-3,1.6000000000000001E-3,NA,NA,0.184,NA,0.55300000000000005,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,agriculture,FM,P4-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2009,Bizoux,Bizoux et al. 2009,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",Y,Y,Y,Y,N
4,4,Milicia excelsa,Moraceae,tree/shrub,tree,Perennial,Deciduous,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Biotic,Mix-l,Ba,Cameroon,Tropical,Tropical,Y,N,P2,non-defined mixed,non-defined mixed,Djoum: As Mindorou,19.600000000000001,tree/km2,near roads accesible by vehicule,54,microsatellites,8,Y,3.5000000000000003E-2,-1.01E-2,3.8999999999999998E-3,5.1000000000000004E-3,NA,NA,0.19800000000000001,NA,0.53100000000000003,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,agriculture,FM,P4-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2009,Bizoux,Bizoux et al. 2009,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",Y,Y,Y,Y,N
8,8,Carapa guianensis,Meliaceae,tree/shrub,tree,Perennial,Semideciduous,Monoecious,m.out,SC,0.91800000000000004,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,Brazil,Tropical deciduous rainforest,Tropical,N,N,P1.1,adult,adult,FT adults; 400 ha ,2.5,tree/ha,random sampling of fruits from trees in plot,199,microsatellites,4,Y,NA,NA,4.4999999999999997E-3,2.3999999999999998E-3,NA,NA,2.9000000000000001E-2,NA,NA,NA,Kinship coefficient,Hardy 2003,0 y,uns,silv,managed forest,D,P8-Sp1-D,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,2007,Cloutier,Cloutier et al. 2007,"Cloutier, D., Hardy, O.J., Caron, H., Ciampi, A.Y., Degen, B., Kanashiro, M., Schoen, D.J., 2007. Low Inbreeding and High Pollen Dispersal Distances in Populations of Two Amazonian Forest Tree Species. Biotropica 39, 406–415. https://doi.org/10.1111/j.1744-7429.2007.00266.x",Y,N,N,N,N
8,9,Sextonia rubra,Lauraceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,m.out,SC,0.94499999999999995,tm,NA,Biotic,Bs,In,Biotic,Mix-l,Bi,French Guiane,Tropical forest,Tropical,N,N,P1.1,adult,adult,PA adults; 16 lotes de estudio en 119 ha,1.3,tree/ha,random sampling of fruits from trees in plot,154,microsatellites,4,Y,8.0000000000000002E-3,NA,5.0000000000000001E-3,1E-3,NA,NA,7.5999999999999998E-2,NA,NA,NA,Kinship coefficient,Hardy 2003,0 y,uns,silv,managed forest,D,P8-Sp2-D,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,2007,Cloutier,Cloutier et al. 2007,"Cloutier, D., Hardy, O.J., Caron, H., Ciampi, A.Y., Degen, B., Kanashiro, M., Schoen, D.J., 2007. Low Inbreeding and High Pollen Dispersal Distances in Populations of Two Amazonian Forest Tree Species. Biotropica 39, 406–415. https://doi.org/10.1111/j.1744-7429.2007.00266.x",Y,N,N,N,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P2,non-defined mixed,non-defined mixed,Lowland humid,NA,NA,exhaustive sampling in patches (1/2 ha lowland),258,microsatellites,8,Y,NA,NA,1.6E-2,NA,NA,NA,0.05,NA,0.57999999999999996,3.8,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,fire,D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P4,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),843,microsatellites,8,Y,NA,NA,0.01,NA,NA,NA,-0.01,NA,0.61,4,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P5,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),573,microsatellites,8,Y,NA,NA,1.0999999999999999E-2,NA,NA,NA,-0.03,NA,0.56000000000000005,4,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P6,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),651,microsatellites,8,Y,NA,NA,8.9999999999999993E-3,NA,NA,NA,-0.08,NA,0.57999999999999996,4.0999999999999996,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
