population,population_size,isolation,shape,pollen_tubes,seeds_per_fruit_y2,He,source_fragmentation,source_IF,source_G
J,2,0.083,1.83,8.8,0.65,0.365,"Table 1","Table 6","Table 7"
L,5,0.333,2.84,6.7,,0.350,"Table 1","Table 6","Table 7"
S,5,0.067,2.43,,,0.401,"Table 1","Table 6","Table 7"
K,9,0.067,1.97,9.1,1.30,0.327,"Table 1","Table 6","Table 7"
O,40,0.500,3.14,,,0.351,"Table 1","Table 6","Table 7"
R,40,0.111,1.49,,,0.437,"Table 1","Table 6","Table 7"
F,46,1.000,2.02,6.0,0.38,0.382,"Table 1","Table 6","Table 7"
C,107,0.200,1.27,5.8,0.56,0.387,"Table 1","Table 6","Table 7"
N,173,0.125,1.57,,,0.409,"Table 1","Table 6","Table 7"
E,174,0.111,1.41,4.4,2.04,0.364,"Table 1","Table 6","Table 7"
G,493,0.143,1.21,3.2,0.41,0.373,"Table 1","Table 6","Table 7"
B,605,0.167,1.88,4.8,0.62,0.393,"Table 1","Table 6","Table 7"
I,704,0.143,1.45,2.4,2.33,0.366,"Table 1","Table 6","Table 7"
Q,761,0.025,1.41,,,0.357,"Table 1","Table 6","Table 7"
M,1898,0.333,1.45,,,0.365,"Table 1","Table 6","Table 7"
A,2315,0.167,1.49,5.8,2.46,0.365,"Table 1","Table 6","Table 7"
P,2581,0.167,1.39,,,0.382,"Table 1","Table 6","Table 7"
H,14732,0.071,1.83,3.1,2.69,0.387,"Table 1","Table 6","Table 7"
D,17556,0.023,1.28,4.6,3.78,0.407,"Table 1","Table 6","Table 7"
