source_frame,sf04_reference_id,source_reference_number,source_publication,streams,n_source_case_rows,n_species,species,methods,disturbances,latitudes,lifeforms,lifespans,reproductive_systems,origins,multilayer_screen_status,screening_note,outcome_opened
SF04,SF04R01,1,Bartlewicz et al. (2015) Biological Journal of the Linnean Society 116: 603-613,allelic_richness;expected_heterozygosity,2,1,Linaria vulgaris,microsatellite,fragmentation,50.87,herb,short-lived plant,self-incompatible,introduced,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R02,2,Cunha et al. (2011) Genetica 139: 1159-1168,allelic_richness;expected_heterozygosity,2,1,Dalbergia nigra,microsatellite,fragmentation,-18.28,tree,long-lived plant,self-incompatible,endemic,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R03,3,Collevatti et al. (2014) Plant Systematics and Evolution 300: 1719-172,allelic_richness;expected_heterozygosity,2,1,Annona crassiflora,microsatellite,fragmentation,-14.42,tree,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R04,4,Chung & Nason (2007) Biological Conservation 137: 125-137,allelic_richness;expected_heterozygosity,4,1,Cymbidium goeringii,isozyme,fragmentation,34.15,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R05,5,Souto & Premoli (2003) Botanical Bulletin Academia Sinica Taipei 44: 329-336,allelic_richness;expected_heterozygosity,4,1,Alstroemeria aurea,isozyme,degradation,-40.75,herb,short-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R06,6,Farwig et al. (2008) Conservation Genetics 9: 317-326,allelic_richness;expected_heterozygosity,2,1,Prunus africana,microsatellite,fragmentation,0.23,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R07,7,Suni & Whiteley (2015) Conservation Genetics 16: 1431-1442,allelic_richness;expected_heterozygosity,2,1,ipomosis aggregata,microsatellite,degradation,38.96,herb,short-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R08,8,Korshikov et al. (2015) Cytology and Genetics 49: 102-108,allelic_richness;expected_heterozygosity,4,1,Pinus brutia,microsatellite,degradation,44.83,tree,long-lived plant,self-compatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R09,9,Rymer et al. (2015) Heredity 115: 115-124,allelic_richness;expected_heterozygosity,2,1,Pachira quinata,microsatellite,fragmentation,10.53,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
SF04,SF04R10,10,Jump & Peñuelas (2006) Proceedings of the National Academy of Sciences USA 103: 8096-8100,allelic_richness;expected_heterozygosity,2,1,Fagus sylvatica,microsatellite,fragmentation,41.78,tree,long-lived plant,self-incompatible,native,pending_title_abstract_methods_screen,"Figshare publication/species metadata materialized before new EGWEE numerical effects; treatment/control means, SDs and sample sizes were excluded.",no
