Paper,ID,species,family,life.fo.cat,life.form,life.cycle,foliage,rep.sys,mating.sys,S.I.,outcross.rate,out.rate.unit,selfing.rate,t.pol,pol.clas,pol.v,t.disp,d.clas,d.vec,country,biome,clim.reg,meta,cohort.mean,pop.name,cohort.grp,cohort,Pob.desc,density,dsensity.unit,sampling.type,N,marker,no.markers,FSGS.significance,F(1),bF,Sp,Sp (SE),f o F,FST,FIS ,Ho,He,AR,Kinship.coefficient,Kinship.coefficient (citation),time.w/o.dist,time.from.dist,disturbance,dist.desc,dist.clas,dist.code,logging,experimental.fragmentation,opening.clearings,agriculture,farming,urbanization,mining,construction,roads,fire,silviculture,agrofoestry,plantations,fertilizers/pesticides,conserved,year,first.author,citation,reference,Sp,F1,B,correlogram,data
4,4,Milicia excelsa,Moraceae,tree/shrub,tree,Perennial,Deciduous,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Biotic,Mix-l,Ba,Cameroon,Tropical,Tropical,Y,N,P1,non-defined mixed,non-defined mixed,"Mindorou: moist semi-evergreen forest, high cover canopy",4.9000000000000004,tree/km2,near roads accesible by vehicule,104,microsatellites,8,Y,2.1999999999999999E-2,-6.3E-3,6.3E-3,1.6000000000000001E-3,NA,NA,0.184,NA,0.55300000000000005,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,agriculture,FM,P4-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2009,Bizoux,Bizoux et al. 2009,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",Y,Y,Y,Y,N
4,4,Milicia excelsa,Moraceae,tree/shrub,tree,Perennial,Deciduous,Dioecious,m.out,NA,NA,NA,NA,Abiotic,Ab,Wi,Biotic,Mix-l,Ba,Cameroon,Tropical,Tropical,Y,N,P2,non-defined mixed,non-defined mixed,Djoum: As Mindorou,19.600000000000001,tree/km2,near roads accesible by vehicule,54,microsatellites,8,Y,3.5000000000000003E-2,-1.01E-2,3.8999999999999998E-3,5.1000000000000004E-3,NA,NA,0.19800000000000001,NA,0.53100000000000003,NA,Kinship coefficient,Loiselle et al 1995,0 y,decades,agr,agriculture,FM,P4-Sp1-FM,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,2009,Bizoux,Bizoux et al. 2009,"Bizoux, J.P., Daïnou, K., Bourland, N., Hardy, O.J., Heuertz, M., Mahy, G., Doucet, J.L., 2009. Spatial genetic structure in Milicia excelsa (Moraceae) indicates extensive gene dispersal in a low-density wind-pollinated tropical tree. Mol. Ecol. 18, 4398–4408. https://doi.org/10.1111/j.1365-294X.2009.04365.x",Y,Y,Y,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P2,non-defined mixed,non-defined mixed,Lowland humid,NA,NA,exhaustive sampling in patches (1/2 ha lowland),258,microsatellites,8,Y,NA,NA,1.6E-2,NA,NA,NA,0.05,NA,0.57999999999999996,3.8,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,fire,D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P4,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),843,microsatellites,8,Y,NA,NA,0.01,NA,NA,NA,-0.01,NA,0.61,4,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P5,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),573,microsatellites,8,Y,NA,NA,1.0999999999999999E-2,NA,NA,NA,-0.03,NA,0.56000000000000005,4,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
9,10,Notholithocarpus densiflorus,Fagaceae,tree/shrub,tree/shrub,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Ab-s,Gr,USA,Forest,Tropical,Y,N,P6,non-defined mixed,non-defined mixed,Upland xeric,NA,NA,exhaustive sampling in patches (1/2 ha lowland),651,microsatellites,8,Y,NA,NA,8.9999999999999993E-3,NA,NA,NA,-0.08,NA,0.57999999999999996,4.0999999999999996,Kinship coefficient,Loiselle et al 1995,<50 y,>50 y,fire,"fire, more frequent",D,P9-Sp1-D,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,2013,Dodd,Dodd et al. 2013,"Dodd, R.S., Mayer, W., Nettel, A., Afzal-Rafii, Z., 2013. Clonal growth and fine-scale genetic structure in tanoak (Notholithocarpus densiflorus: Fagaceae). J. Hered. 104, 105–114. https://doi.org/10.1093/jhered/ess080",Y,N,N,Y,N
11,12,Erythrophleum suaveolens,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,mixed,SC,0.78200000000000003,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,Cameroon,Semi-evergreen evergreen rainforest,Tropical,Y,N,P1.1,adult,adult,Cameroon adults;  never logged,1.72,ind/ha,max sampling in patch (47.5 y 100 ha)  and 3-4 transects,177,microsatellites,9,Y,5.5399999999999998E-2,NA,6.1000000000000004E-3,1.6000000000000001E-3,0.155,NA,NA,0.53100000000000003,0.628,5.03,Kinship coefficient,Loiselle et al 1995,NA,NA,und,"undisturbed, never logged",U,P11-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2016,Duminil,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.100",Y,Y,N,Y,http://dx.doi.org/10.5061/dryad.b78fb.
11,12,Erythrophleum suaveolens,Fabaceae,tree/shrub,tree,Perennial,Evergreen,Hermaphrodite,mixed,SC,0.81799999999999995,tm,NA,Biotic,Bs,In,Abiotic,Ab-s,Gr,DRC,Semi-evergreen evergreen rainforest,Tropical,Y,N,P2.1,adult,adult,DRC adults; never logged,0.68,ind/ha,max sampling in patch (47.5 y 100 ha)  and 3-4 transects,88,microsatellites,9,Y,4.1500000000000002E-2,NA,5.3E-3,1.1999999999999999E-3,0.11899999999999999,NA,NA,0.51200000000000001,0.58099999999999996,5.07,Kinship coefficient,Loiselle et al 1995,NA,NA,und,"undisturbed, never logged",U,P11-Sp1-U,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,2016,Duminil,Duminil et al. 2016,"Duminil, J., Daïnou, K., Kaviriri, D.K., Gillet, P., Loo, J., Doucet, J.L., Hardy, O.J., 2016. Relationships between population density, fine-scale genetic structure, mating system and pollen dispersal in a timber tree from African rainforests. Heredity (Edinb). 116, 295–303. https://doi.org/10.1038/hdy.2015.100",Y,Y,N,Y,http://dx.doi.org/10.5061/dryad.b78fb.
13,14,Manikara maxima,Sapotaceae,tree/shrub,tree,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,"Ba,Bi,Pr",Brazil,Atlantic forest,Tropical,Y,N, P1.1,adult,adult,NE Adults; large fragment,4.13,tallo/ha, (25 ha)  patches de 10 ha.,43,microsatellites,5,Y,NA,NA,1.7999999999999999E-2,NA,NA,NA,0.11,0.55000000000000004,0.63,NA,Multilocus relatedness coefficient; Kinship coefficient,Peakall & Smouse 2006; Loiselle et al 1995,uns,>30 y,log,"logging, big fragments",FL,P13-Sp1-FL,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2015,Ghanzorn,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Y,N,N,Y,N
13,14,Manikara maxima,Sapotaceae,tree/shrub,tree,Perennial,Evergreen,NA,m.out,NA,NA,NA,NA,Biotic,Bs,In,Biotic,Mix-l,"Ba,Bi,Pr",Brazil,Atlantic forest,Tropical,Y,N, P2.1,adult,adult,UE Adults; large fragment,4,tallo/ha, (25 ha)  patches de 10 ha.,40,microsatellites,5,Y,NA,NA,0,NA,NA,NA,-0.08,0.54,0.5,NA,Multilocus relatedness coefficient; Kinship coefficient,Peakall & Smouse 2006; Loiselle et al 1995,uns,>30 y,log,"logging, big fragments",FL,P13-Sp1-FL,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2015,Ghanzorn,Ganzhorn et al. 2015,"Ganzhorn, S.M., Thomas, W.W., Gaiotto, F.A., Lewis, J.D., 2015. Spatial genetic structure of Manilkara maxima (Sapotaceae), a tree species from the Brazilian Atlantic forest. J. Trop. Ecol. 31, 437–447. https://doi.org/10.1017/S0266467415000292",Y,N,N,Y,N
