dist.c,Paper,ID,dist.code,cohort.mean,species,family,life.form,cohort,mating.sys,pol.c,pol.v,disp.c,disp.v,marker,n,Me,Se,Mc,Sc
,,U,U,,,,,,,,,,,,16,2.98625E-2,3.31042E-2,2.98625E-2,3.31042E-2
,,D,D,,,,,,,,,,,,20,1.6830950000000001E-2,9.9386189999999992E-3,2.98625E-2,3.31042E-2
,,FL,FL,,,,,,,,,,,,15,2.758267E-2,3.3512409999999999E-2,2.98625E-2,3.31042E-2
,,FM,FM,,,,,,,,,,,,18,2.1157140000000001E-2,1.8869548999999999E-2,2.98625E-2,3.31042E-2
,,FH,FH,,,,,,,,,,,,17,2.905833E-2,1.7596892999999999E-2,2.98625E-2,3.31042E-2
U,17,P17-Sp1,P17-Sp1-U,N,Fagus sylvatica,Fagaceae,tree/shrub,non-adult,m.out,Ab,Wi,Ab-s,Gr,AFLP,4,1.3525000000000001E-2,7.2761600000000003E-3,2.98625E-2,3.31042E-2
U,65,P65-Sp1,P65-Sp1-U,N,Orchis mascula,Orchidaceae,herb,adult,m.out,Bs,In,Ab-l,Wi,AFLP,2,1.115E-2,2.3334520000000002E-3,2.98625E-2,3.31042E-2
U,75,P75-Sp1,P75-Sp1-U,N,Syagrus romanzoffiana,Arecaceae,tree/shrub,non-adult,m.out,Bs,In,Mix-l,Un,microsatellites,3,1.4333333E-2,1.0115994E-2,2.98625E-2,3.31042E-2
U,80,P80-Sp1,P80-Sp1-U,N,Prunus avium,Rosaceae,tree/shrub,adult,m.out,Bs,In,Mix-l,"Bi, MMa",microsatellites,2,3.7499999999999999E-2,1.0606602E-2,2.98625E-2,3.31042E-2
U,82,P82-Sp1,P82-Sp1-U,N,Lodoicea maldivica,Arecaceae,tree/shrub,adult,m.out,Bmx,Re,Ab-s,Gr,microsatellites,3,8.6666669999999994E-3,2.5166110000000002E-3,2.98625E-2,3.31042E-2
U,91,P91-Sp1,P91-Sp1-U,N,Mercurialis perennis,Euphorbiaceae,herb,non-defined mixed,m.out,Ab,Wi,T-s,An,AFLP,2,9.4E-2,8.4852810000000008E-3,2.98625E-2,3.31042E-2
D,9,P9-Sp1,P9-Sp1-D,N,Notholithocarpus densiflorus,Fagaceae,tree/shrub,non-defined mixed,m.out,Bs,In,Ab-s,Gr,microsatellites,4,1.15E-2,3.1091259999999998E-3,2.98625E-2,3.31042E-2
D,19,P19-Sp1,P19-Sp1-D,N,Adansonia digitata,Malvaceae,tree/shrub,non-defined mixed,m.out,Bmx,Ba,Mix-l,Ba,AFLP,5,2.7400000000000001E-2,1.8635987E-2,2.98625E-2,3.31042E-2
D,23,P23-Sp1,P23-Sp1-D,N,Polygala reinii,Polygalaceae,herb,non-defined mixed,m.out,Bs,In,T-s,An,Allozymes,2,2.5499999999999998E-2,7.07107E-4,2.98625E-2,3.31042E-2
D,31,P31-Sp1,P31-Sp1-D,N,Ceratiola ericoides,Empetraceae,tree/shrub,defined mixed,m.out,Ab,Wi,Ab-s,"Gr,Bi",Allozymes,2,2.2450000000000001E-2,2.6375083000000001E-2,2.98625E-2,3.31042E-2
D,64,P64-Sp1,P64-Sp1-D,N,Orchis purpurea,Orchidaceae,herb,adult,m.out,Bs,In,Ab-l,Wi,AFLP,2,2.2200000000000001E-2,3.818377E-3,2.98625E-2,3.31042E-2
D,73,P73-Sp1,P73-Sp1-D,N,Prunus serotina,Rosaceae,tree/shrub,adult,m.out,Bs,In,Mix-l,Bi,microsatellites,3,6.2666670000000001E-3,7.57188E-4,2.98625E-2,3.31042E-2
D,93,P93-Sp1,P93-Sp1-D,N,Parkia biglobosa,Fabaceae,tree/shrub,adult,m.out,Bmx,"Ba,In",Mix-l,"Bi,Pr,Ro",microsatellites,2,2.5000000000000001E-3,7.07107E-4,2.98625E-2,3.31042E-2
FL,13,P13-Sp1,P13-Sp1-FL,N,Manikara maxima,Sapotaceae,tree/shrub,adult,m.out,Bs,In,Mix-l,"Ba,Bi,Pr",microsatellites,2,8.9999999999999993E-3,1.2727921999999999E-2,2.98625E-2,3.31042E-2
FL,21,P21-Sp1,P21-Sp1-FL,N,Quercus rubra,Fagaceae,tree/shrub,non-defined mixed,m.out,Ab,Wi,Ab-s,Gr,microsatellites,3,5.6666670000000002E-3,3.5118850000000002E-3,2.98625E-2,3.31042E-2
FL,25,P25-Sp1,P25-Sp1-FL,N,Fagus sylvatica,Fagaceae,tree/shrub,adult,m.out,Ab,Wi,Ab-s,Gr,microsatellites,3,2.1966666999999999E-2,1.335078E-2,2.98625E-2,3.31042E-2
FL,46,P46-Sp1,P46-Sp1-FL,N,Aucoumea klaineana,Burseraceae,tree/shrub,non-adult,m.out,Bs,In,Ab-l,Wi,microsatellites,5,1.478E-2,2.1730159999999998E-3,2.98625E-2,3.31042E-2
