priority,cluster_id,system,design_stream,target_information_cells,current_blocker,reopen_allowed,reopen_condition,outcome_independent_rationale
1,ML006,Primula elatior,multivariate_quadratic_common_exposure,"I-F;G_adult-F;G_adult-I",common_population_values_not_recoverable,yes,"recover exact common 15-population forest1000 + Pi + pollinator-abundance + seed-number data or source-equivalent model representation","Adds a rare same-frame I/F/G_adult bridge and directly improves two preregistered layer-contrast cells."
2,ML008,"Tillandsia intermedia; Tillandsia makoyana",site_nested_binary_habitat,I-F,signed_effect_and_covariance_not_reconstructable,yes,"recover six-site signed I/F estimates plus compatible covariance or raw/site-level summaries","Directly targets the thinnest current direct pair cell I-F."
3,ML007,multi-species replicated fragmentation experiment,hierarchical_edge_gradient,"D-I;D-F;I-F",source_access_blocked,yes,"obtain ordinary-access raw CSV or author-supplied source data without bypassing access controls","Replicated experimental block design can add I-F and resource/function geometry under one campaign."
4,ML011,Magnolia stellata,fisher_z_gradient,C-F,source_population_size_values_not_recoverable,yes,"recover the exact six-population summed adult-genet basal-area exposure used in the source model","Adds process-function coupling in a separate gradient family without converting it to Hedges g."
5,ML012,Dieffenbachia seguine,hedges_g_direct,C-G_mating,population_specific_Nep_not_reconstructable,yes,"recover the source 2010 population-specific adjusted N_ep cells for the four populations","Adds same-frame movement/mating geometry while preserving four population-level fragmentation units."
6,ML010,Penstemon hirsutus,within_network_isolation_gradient,C-G_offspring,source_parentage_assignments_not_reconstructable,yes,"recover source parentage assignment output or exact roof-level self/within/between counts","Adds process/genetic coupling in ten roof populations under a source-defined isolation exposure."
7,ML004,Conospermum undulatum 2020,fisher_z_gradient,"I-F;I-T;F-T",effect_unit_or_variance_not_reconstructable,yes,"recover population-level 2020 I/F vectors or same-exposure coefficients with SE/covariance","High-value continuous-gradient generalisation for interaction/function/trait geometry; does not enter direct Hedges-g denominator."
8,ML005,Conospermum undulatum 2026,fisher_z_gradient,C-G_offspring,source_access_blocked,yes,"recover exact modified-incidence connectivity values and legitimately accessible seedling genotype data","Adds contemporary process/offspring-genetic geometry without reusing the linked adult cohort."
9,ML009,Pistacia lentiscus,cross_study_single_landscape_reference,"C-G_mating;C-G_adult",single_landscape_per_condition_no_replication,no_without_new_independent_replication,"genuinely new independent fragmented and/or continuous landscapes under the same estimand","Structural non-identifiability cannot be repaired by more mothers, seeds, males or loci within one landscape."
10,ML013,Swietenia humilis,unbalanced_binary_habitat,G_mating-G_offspring,single_continuous_reference_population_no_replication,no_without_new_independent_replication,"at least one additional independent continuous-reference population under the same estimand or a prospectively justified landscape-level design","Structural non-identifiability cannot be repaired by lower-level maternal trees, progeny or loci."
