source_frame,sf06_publication_id,source_publication,n_source_rows,responses,n_species,species,families,land_use_factors,compatibility_systems,sexual_expressions,pollination_contexts,life_forms,ecosystem_types,countries,multilayer_screen_status,screening_note,outcome_opened
SF06,SF06P001,Abrahamczyk et al. (2021) Plant Ecology 222:613- 623,2,Female fitness; Pollination,1,Centaurea_scabiosa,Asteraceae,Habitat Fragmentation; Habitat fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Germany,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P002,Adriaens et al. (2009) Acta Oecologica 35:69- 82,2,Female fitness,1,Colchicum_autumnale,Colchicaceae,Habitat Fragmentation,SC,hermaphrodite,invertebrate generalist,herb,extratropical,Belgium,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P003,Aguilar & Galetto (2004) Oecologia 138:513- 520,2,Female fitness; Male fitness,1,Cestrum_parqui,Solanaceae,Habitat Fragmentation; Habitat fragmentation,SI,hermaphrodite,invertebrate specialist,shrub,extratropical,Argentina,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P004,"Aguilar (2005) PhD Thesis, National University of Córdoba Pp. 1- 169",32,Female fitness; Male fitness; Pollination,12,Cestrum_parqui; Dicliptera_squarrosa; Geoffroea_decorticans; Heimia_salicifolia; Ipomoea_purpurea; Lycium_cestroides; Mandevilla_laxa; Mandevilla_pentlandiana; Porlieria_microphylla; Solanum_chenopodioides; Talinum_paniculatum; Vachellia_caven,Solanaceae; Acanthaceae; Fabaceae; Lythraceae; Convolvulace; Apocynaceae; Zygophyllace; Portulacacea,Habitat fragmentation; Habitat Fragmentation,SI; SC,hermaphrodite,invertebrate specialist; vertebrate generalist; invertebrate generalist; both generalist; invertebrate; specialist; invertebrate; generalist,shrub; herb; tree; vine,extratropical,Argentina; China,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P005,Aguilar et al. (2012) Biological Conservation 152:81- 89,1,Female fitness,1,Neltuma_caldenia,Fabaceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,tree,extratropical,Argentina,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P006,Ahmed et al. (2009) PNAS 106:20342- 20347,1,Male fitness,1,Ficus_sycomorus,Moraceae,Habitat fragmentation,NA,monoecious,invertebrate specialist,tree,extratropical,Namibia,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P007,Aizen & Feinsinger (1994) Ecology 75:330- 351,31,Female fitness; Pollination,16,Erythrostemon_gilliesii; Justicia_squarrosa; Lepismium_lumbricoides; Ligaria_cuneifolia; Mimosa_detinens; Neltuma_nigra; Opuntia_quimilo; Parkinsonia_praecox; Portulaca_umbraticola; Senegalia_praecox; Senna_aphylla; Tillandsia_ixioides; Vachellia_aroma; Vachellia_atramentaria; Vachellia_furcatispina; Vachellia_praecox,Fabaceae; Acanthaceae; Cactaceae; Loranthaceae; Portulacacea; Bromeliaceae,Habitat Fragmentation; Habitat fragmentation,SC; SI,hermaphrodite,invertebrate specialist; invertebrate generalist; vertebrate specialist; invertebrate; generalist; invertebrate; specialist; vertebrate; specialist,shrub; herb; epiphyte; epifite; hemiparasite; tree,extratropical,Argentina,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P008,Albrecht et al. (2007) Journal of Applied Ecology 44:813- 822,5,Female fitness; Pollination,4,Campanula_glomerata; Hypochaeris_radicata; Raphanus_raphanistrum; Raphanus_raphanistrum_subsp._sativus,Campanulace; Asteraceae; Brassicaceae,Agriculture,SI,hermaphrodite,invertebrate generalist; invertebrate; generalist,herb,extratropical,Switzerland,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P009,Albrecht et al. (2009) PLoS One 4:e6751,1,Female fitness,1,Centaurea_jacea,Asteraceae,Habitat Fragmentation,SI,hermaphrodite,invertebrate generalist,herb,extratropical,Germany,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
SF06,SF06P010,Angoh et al. (2021) South African Journal of Botany 141:196- 199,2,Female fitness; Pollination,1,Erica_discolor,Ericaceae,Habitat Fragmentation; Habitat fragmentation,SI,hermaphrodite,vertebrate specialist,shrub,extratropical,South Africa,pending_title_abstract_methods_screen,DOCX source identity/trait metadata materialized before new numerical EGWEE effects; Hedges-d and V(d) cells were parsed only as excluded positions and are not stored.,no
