cluster_id,study_ids,system_id,design_stream,layers_targeted,admission_class,n_primary_effects,terminal_status
ML001,PS003,serapias_lingua,hedges_g_direct,C;F;G_adult,primary_direct,3,admissible_multilayer_cluster
ML002,PS004,brosimum_alicastrum,hedges_g_direct,C;F;G_adult;G_offspring,primary_direct,2,admissible_multilayer_cluster
ML003,PS001,spondias_purpurea,hedges_g_direct,I;C;F;G_adult;G_offspring,primary_direct,4,admissible_multilayer_cluster
ML004,PS015,conospermum_undulatum,fisher_z_gradient,I;T;F,closed_recoverability,0,effect_unit_or_variance_not_reconstructable
ML005,PS011,conospermum_undulatum,fisher_z_gradient,C;G_offspring,closed_recoverability,0,source_access_blocked
ML006,PS016,primula_elatior,multivariate_quadratic_common_exposure,I;T;F;G_adult,closed_recoverability,0,common_population_values_not_recoverable
ML007,PS014,hulting_fragmentation_experiment,hierarchical_edge_gradient,D;I;F,closed_recoverability,0,source_access_blocked
ML008,PS012,tillandsia_chamela,site_nested_binary_habitat,I;F,closed_recoverability,0,signed_effect_and_covariance_not_reconstructable
ML009,PS013,pistacia_lentiscus,cross_study_single_landscape_reference,C;G_mating;G_adult,closed_replication,0,single_landscape_per_condition_no_replication
ML010,C07,penstemon_hirsutus,within_network_isolation_gradient,C;G_offspring,closed_recoverability,0,source_parentage_assignments_not_reconstructable
ML011,PS002,magnolia_stellata,fisher_z_gradient,C;F,closed_recoverability,0,source_population_size_values_not_recoverable
ML012,PS017,dieffenbachia_seguine,hedges_g_direct,C;G_mating,closed_recoverability,0,population_specific_Nep_not_reconstructable
ML013,PS018,swietenia_humilis,unbalanced_binary_habitat,G_mating;G_offspring,closed_replication,0,single_continuous_reference_population_no_replication
ML014,PS020,eucalyptus_socialis,hedges_g_direct,G_mating;F,primary_direct,2,admissible_multilayer_cluster
ML015,PS019,eucalyptus_wandoo,fisher_z_gradient_generalisation,I;F;G_adult,gradient_generalisation,0,gradient_generalisation_multilayer_cluster
ML020,PS022,aizen_feinsinger_chaco_1994,hedges_g_direct,I;F,primary_direct,6,admissible_multilayer_cluster
