candidate_id,system,seed_role,direct_fragmentation_contrast,known_layers,primary_pairing_value,current_status,notes
C01,Crepis sancta,mechanistic_anchor,programme_split,"D;I;C;R;G;F;M",high,source_verified_programme,"2006 D/I/R/F and 2013 C/G_mating campaigns verified; do not row-join unmatched years"
C02,Camellia japonica-Zosterops japonicus Miyake,mechanistic_anchor,programme_split,"D;I;C;G_offspring;F;M",high,source_verified_programme,"2008 D/I/F and 2013 D/C/G_offspring campaigns verified; volcanic damage exposure; keep publications separate"
C03,Conospermum undulatum,mechanistic_anchor,programme_split,"D;I;T;C;R;G_adult;G_offspring;F;M",very_high,source_verified_programme,"2019 reproduction, 2020 visitation/pollen quality, 2021 adult historical genetics, 2026 contemporary pollen-flow/offspring layers verified; temporal layers remain separate"
C04,Spondias purpurea,mechanistic_anchor,yes,"D;I;C;G_adult;G_offspring;F;M",very_high,source_verified_priority_extraction,"single 2021 continuous-vs-fragmented comparison measures visitation, reproduction, pollen flow/paternity and cohort genetics"
C05,Honshu-Izu coastal networks,secondary_seed,no_strict_binary,"I;T;F;M",medium,secondary_gradient_candidate,"distance/island geography; Fisher-z gradient stream unless a valid pre-existing two-group fragmentation contrast exists"
C06,Zurich BetterBlooms,secondary_seed,uncertain,"D;I;T;F",medium,screen_exposure_definition,"urban intensity is not automatically equivalent to fragmentation"
C07,Chicago Penstemon hirsutus,high_value_seed,uncertain,"D;I;T;C;R;G;F;M",high,screen_original_papers,"connectivity/function-rich partial state in existing crosswalk"
C08,Primula elatior,high_value_seed,yes,"D;I;T;C;R;G;F;M",high,priority_screening,"strong terrestrial multilayer candidate; primary-paper verification still required"
C09,Oenothera harringtonii,secondary_seed,uncertain,"I;C;G;F",medium,screen_original_paper,"existing EGWEE result targets spatial mating opportunity rather than a meta-analysis-ready fragmentation contrast"
C10,Eschscholzia californica,secondary_seed,uncertain,"I_proxy;C;G;F",low,screen_original_paper,"existing gate result contains measurement-identifiability limitations"
C11,Mallorca carob,secondary_seed,uncertain,"I_proxy;F",low,screen_original_paper,"urban/agricultural context; exposure must satisfy fragmentation rule"
C12,Campanula americana,secondary_seed,no,"I;T;F",low,representation_only,"use for conceptual representation discussion only unless original study contains an eligible fragmentation contrast"
C13,Magnolia stellata,external_meta_seed,gradient,"D;C;R;F",high,source_verified_gradient,"2013 BMC Ecology 10.1186/1472-6785-13-10; paternity pollen flow, selfing, female and male reproductive success across six fragmented populations"
C14,Serapias lingua,external_meta_seed,gradient,"D;C;R;F;G_adult",high,source_verified_gradient,"2015 BMC Plant Biology 10.1186/s12870-015-0600-8; microsatellites, paternity pollen flow, clonality and fruit production across nine subpopulations"
C15,Brosimum alicastrum,external_meta_seed,yes,"D;C;F;G_adult;G_offspring",very_high,source_verified_priority_extraction,"2023 AJB 10.1002/ajb2.16157; three continuous versus three fragmented sites with pollen gene flow, genetics and progeny vigour"
C16,Tillandsia intermedia / T. makoyana,external_meta_seed,yes,"I;F;R",high,source_verified_priority_extraction,"2018 AoB PLANTS 10.1093/aobpla/ply038; continuous-vs-fragmented interaction and female reproduction across three years"
C17,Pistacia lentiscus,external_meta_seed,partial_cross_study_reference,"C;G_adult;G_mating",medium,source_verified_partial,"2012 PLOS ONE 10.1371/journal.pone.0049012; fragmented landscape with continuous-population reference from prior study; dependence reconstruction required"
C18,replicated savanna fragmentation experiment,external_meta_seed,yes,"D;I;F",very_high,source_verified_priority_extraction,"2025 Journal of Ecology 10.1111/1365-2745.14452; experimental connectivity/edge design, flowering, pollination rate and seed production across five species"
C19,Conospermum undulatum 2020 pollination-quality study,external_meta_seed,gradient,"D;I;T;F",very_high,source_verified_gradient_priority,"Biological Conservation 10.1016/j.biocon.2020.108824; 11 populations, native specialist visitation increases with floral display/connectivity and pollen-quality limitation strengthens in small isolated remnants"
