moderator_id,field_name,analysis_role,allowed_values_or_unit,source_rule,primary_hypothesis,minimum_model_gate,do_not_infer
M01,mating_system,primary_categorical,"self_incompatible;self_compatible;mixed;unknown","code from source species biology or explicitly cited natural-history source","I-F separation may be larger when selfing/reproductive assurance can buffer F",">=10 independent clusters total and >=4 per analysed level","do not infer mating system from observed fruit set, inbreeding, or effect direction"
M02,autonomous_reproductive_assurance,primary_categorical,"measured_present;measured_absent;not_measured","only explicit bagging/autonomous selfing/reproductive-assurance evidence","independent reproductive assurance may buffer F relative to I loss",">=10 independent clusters total and >=4 per analysed level","do not label assurance from self-compatibility alone or from a weak F effect"
M03,pollination_vector,primary_categorical,"invertebrate;vertebrate;abiotic;mixed;unknown","source-defined dominant pollination vector for focal reproductive endpoint","pollination context may modify I-F and C-F coupling",">=10 independent clusters total and >=4 per analysed level","do not convert pollinator species richness or effect size into a mobility category"
M04,woodiness,primary_categorical,"woody;nonwoody;unknown","source growth form","longer-lived woody adults may retain pre-fragmentation G_adult state longer",">=10 independent clusters total and >=4 per analysed level","do not infer woodiness from publication venue or biome"
M05,life_form,secondary_categorical,"annual_biennial_herb;perennial_herb;shrub;tree;epiphyte_lithophyte;other;unknown","source or standard flora; store citation","descriptive refinement of longevity/history lag","descriptive until >=4 clusters per retained level","do not collapse levels after seeing outcome estimates"
M06,fragmentation_age_years,primary_continuous,"years since source-explicit fragmentation/disturbance; NA if unknown","use explicit date/year interval only; retain raw wording","recent fragmentation should increase contemporary-process versus G_adult discordance in long-lived systems",">=10 independent clusters with non-degenerate numeric support","do not impute midpoint from vague terms such as old/recent/historical"
M07,fragmentation_component,primary_categorical,"area;isolation_connectivity;edge;habitat_amount;composite;experimental_patch_design;other;unknown","code from exposure definition before outcome inspection","response geometry may differ by the structural component manipulated/measured",">=10 independent clusters total and >=4 per analysed level","do not relabel an exposure according to the response pattern it produces"
M08,process_measurement_type,primary_categorical,"direct;proxy;mixed;unknown","direct = observed movement/visitation/pollen receipt/parentage process; proxy = landscape or surrogate index","direct process measurements may show different coupling precision than proxies",">=10 independent clusters total and >=4 per analysed level","do not call a proxy direct because it predicts function well"
M09,biome_region,secondary_categorical,"source biome plus geographic region string","store source-defined biome/region without outcome-based regrouping","secondary generalisation only","no formal model until adequate cells after primary moderators","do not use biome/region to rescue sparse primary moderator models"
M10,study_design,secondary_categorical,"observational_binary;observational_gradient;experimental_fragmentation;natural_disturbance;other","code from design before effect calculation","design sensitivity/generalisation","descriptive or sensitivity only unless >=10 clusters","do not mix direct Hedges-g and gradient Fisher-z effect families because design categories differ"
