study_id,species,title,year,doi,fragmentation_design,verified_layers,paired_multilayer_same_study,seed_priority,source_status,notes
PS001,Spondias purpurea,"Habitat fragmentation negatively affects effective gene flow via pollen, and male and female fitness in the dioecious tree, Spondias purpurea (Anacardiaceae)",2021,10.1016/j.biocon.2021.109007,continuous_vs_fragmented,"D;I;C;F;G_adult;G_offspring",yes,very_high,source_verified,"Same comparison measures visitation, fruit set, paternity/pollen flow, adult and seed/juvenile genetics."
PS002,Magnolia stellata,"Pollen flow and effects of population structure on selfing rates and female and male reproductive success in fragmented Magnolia stellata populations",2013,10.1186/1472-6785-13-10,fragmented_population_structure_gradient,"D;C;R;F",yes,high,source_verified,"Six adjacent populations; paternity-derived pollen flow, selfing, female seed production and male reproductive success. Native model coefficients retained unless a compatible standardisation is locked."
PS003,Serapias lingua,"Effects of population structure on pollen flow, clonality rates and reproductive success in fragmented Serapias lingua populations",2015,10.1186/s12870-015-0600-8,source_defined_anthropic_vs_natural_plus_area_gradient,"D;C;R;F;G_adult",yes,very_high,source_verified,"The source predefines anthropic C/F/G versus natural A/B/D/E/H/I populations. Primary site-level Hedges-g effects are reconstructed for C,F,G_adult; the -log(area) Fisher-z representation uses the same observations and is sensitivity only."
PS004,Brosimum alicastrum,"Gone with the wind: Negative genetic and progeny fitness consequences of habitat fragmentation in the wind pollinated dioecious tree Brosimum alicastrum",2023,10.1002/ajb2.16157,3_continuous_vs_3_fragmented,"D;C;F;G_adult;G_offspring",yes,very_high,source_verified,"Direct replicated habitat contrast; population/sex structure, pollen-distance gene flow, genetic diversity/mating and early progeny vigour."
PS005,Camellia japonica,"Pollination and reproductive success across volcanic damage on Miyake-jima",2008,10.1007/s11284-007-0345-4,volcanic_damage_gradient,"D;I;F",yes,medium,source_verified,"Natural disturbance/resource-loss anchor; exposure is volcanic damage rather than generic habitat fragmentation, so retain as secondary/moderator-sensitive candidate."
PS006,Camellia japonica,"Pollen flow and next-generation genetics across volcanic damage on Miyake-jima",2013,10.1371/journal.pone.0062696,volcanic_damage_gradient,"D;C;G_offspring",yes,medium,source_verified,"Same study programme as PS005 but different campaign/year; never row-join as synchronized measurements."
PS007,Crepis sancta,"Density-dependent pollinator activity and reproductive response in fragmented urban populations",2006,10.1111/j.1469-8137.2006.01880.x,urban_patch_density_gradient,"D;I;R;F",yes,medium,source_verified,"Local interaction-function chain; urban density gradient, not automatically a binary fragmentation contrast."
PS008,Crepis sancta,"Contemporary pollen and seed dispersal in fragmented urban patch networks",2013,10.1038/hdy.2013.3,urban_patch_network,"C;R;G_mating",yes,medium,source_verified,"Same programme as PS007 but later parentage campaign; keep dependence/programme ID explicit."
PS009,Conospermum undulatum,"Fragmentation, floral display, mating system and reproductive function",2019,10.1002/ece3.5653,fragmentation_isolation_gradient,"D;R;F",yes,high,source_verified,"Strictly self-incompatible; reproductive output linked to population size/floral display/isolation."
PS010,Conospermum undulatum,"Adult genetic structure and historical habitat connectivity",2021,10.1007/s10531-021-02256-x,historical_connectivity_gradient,"D;G_adult;M",yes,high,source_verified,"Adult genetic state represents historical connectivity; same programme but different temporal layer."
PS011,Conospermum undulatum,"Contemporary offspring paternity and pollen flow across fragmented versus continuous habitat",2026,10.1002/ece3.73406,fragmented_population_matrix_gradient,"C;G_offspring;M",yes,very_high,source_verified,"Contemporary inter-fragment pollen flow; all focal populations are remnant/fragmented, so treat as gradient/lag evidence rather than a clean binary contrast."
PS012,Tillandsia intermedia; Tillandsia makoyana,"Consequences of habitat fragmentation on the reproductive success of two Tillandsia species with contrasting life history strategies",2018,10.1093/aobpla/ply038,continuous_vs_fragmented,"I;F;R",yes,high,source_verified,"Three-year plant-pollinator and female reproductive comparison; site nested within habitat in GLMM, so plant-level n is not fragmentation-level n."
PS013,Pistacia lentiscus,"Extensive Pollen Flow but Few Pollen Donors and High Reproductive Variance in an Extremely Fragmented Landscape",2012,10.1371/journal.pone.0049012,highly_fragmented_landscape_vs_published_continuous_reference,"C;G_adult;G_mating",partial,medium,source_verified,"Primary paper uses a highly fragmented landscape and compares some quantities to an earlier continuous population; do not treat as a clean same-study binary effect without reconstructing dependence."
PS014,multiple_species,"Habitat edges decrease plant reproductive output in fragmented landscapes",2025,10.1111/1365-2745.14452,replicated_fragmentation_experiment,"D;I;F",yes,very_high,source_verified,"Experimental connectivity/edge design; flowering, pollination rate and seed production across five species. Strong candidate for D/I/F concordance tests."
PS015,Conospermum undulatum,"Habitat fragmentation restricts insect pollinators and pollen quality in a threatened Proteaceae species",2020,10.1016/j.biocon.2020.108824,11_population_fragmentation_gradient,"D;I;T;F",yes,very_high,source_verified,"Across 11 populations, visitation increased with floral display/connectivity; small isolated remnants lacked native bees and showed stronger pollen-quality limitation."
PS016,Primula elatior,"Small populations, big challenges: Genetic, demographic, and landscape context collectively shape population performance of a perennial herb",2025,10.1016/j.biocon.2025.111044,33_population_landscape_gradient,"D;I;T;F;G_adult",yes,very_high,source_verified,"Same study measures population size, SNP diversity, floral morph balance and reproductive performance across 33 populations; pollinator abundance in 15 populations. Small populations are genetically less diverse, while seed production is linked more directly to morph balance/pollinator abundance than to genetic diversity."
