cluster_id,system,coverage_target,current_blocker,phase2_priority,priority_rationale,reopen_trigger,forbidden_rescue,phase2_status
ML006,Primula elatior,"I-F; process-vs-G_adult; D/I/T/F/G_adult gradient","common 15-population forest-cover/pollinator/seed/genetic values not publicly recoverable",P1,"fills multiple underrepresented layer pairs and original cohort/process moderator programme","exact common-population source data or author/repository release exposing forest1000 plus required responses","do not digitize figures; do not join unmatched 33-population and 15-population frames",registered_recovery_target
ML007,Hulting multi-species fragmentation experiment,"D-I; I-F; D-F in replicated experiment","raw CSV access blocked by ordinary web access layer; published tables lack coefficient/SE representation",P1,"replicated experimental hierarchy could add direct D/I/F geometry without pseudo-replication","legitimately obtained raw CSV or author-supplied copy with block/patch/plant hierarchy","do not bypass access controls; do not code nonsignificance as zero; five species remain dependent",registered_recovery_target
ML008,Tillandsia intermedia / T. makoyana,"I-F direct paired habitat contrast","signed species-layer effects and I/F covariance not reconstructable from published tests",P1,"direct I-F replication is currently sparse and is valuable whether concordant or separated","site-level summaries or signed model contrasts plus covariance/raw data on six-site frame","do not use plant-level df as fragmentation n; do not digitize Figure 3 to manufacture signed effects",registered_recovery_target
ML012,Dieffenbachia seguine,"C-G_mating direct paired contrast","population-specific adjusted N_ep cells not recoverable from accessible source",P1,"direct C/G_mating coverage is sparse and exact C assignment vector is already recovered","published 2010 Table 2 cells or author/source data for population-specific adjusted N_ep","do not substitute unadjusted thesis N_ep, 1/r_p, A_ep, adult H_O or lower-level n",registered_recovery_target
ML010,Penstemon hirsutus,"C-G_offspring within-network isolation gradient","source parentage assignment output absent",P2,"ten roof populations could strengthen C/G_offspring gradient coverage and urban-fragment context","source CERVUS assignment output or exact roof-level self/within/between counts","do not reimplement parentage after seeing genetics; do not join separate adult-genetic design",registered_recovery_target
ML004,Conospermum undulatum 2020,"I-F; D/I/T/F gradient","population-level 2020 I/F vectors or compatible coefficient/SE/covariance not publicly reconstructable",P2,"same-study contemporary interaction/function geometry complements programme history-lag records","population-level 2020 data or model coefficients with compatible uncertainty","do not rescue with 2019 reproductive dataset or cross-year row joins",registered_recovery_target
ML005,Conospermum undulatum 2026,"C-G_offspring contemporary gradient","exact connectivity values and accessible seedling genotype bytes unavailable",P2,"contemporary offspring process/genetic layer is relevant to cohort-history hypotheses","exact population-specific modified-incidence connectivity plus legitimate genotype source bytes","do not substitute population size/distance/area/binary matrix class; do not recount adult context",registered_recovery_target
ML011,Magnolia stellata,"C-F gradient","source-defined six-population summed adult-genet basal-area exposure not recoverable",P2,"same-system C/F relation contributes process-function generalisation","exact summed adult-genet basal-area values or source model table with compatible exposure","do not replace basal-area exposure with adult-genet counts from supplement",registered_recovery_target
ML009,Pistacia lentiscus,"C-G_mating/G_adult descriptive","one fragmented landscape versus one continuous landscape",HARD_CLOSED,"failure is structural fragmentation-level non-identifiability, not missing extraction effort","genuinely new independent landscapes under same estimand or prospectively justified hierarchical replication","mothers/seeds/males/loci cannot become fragmentation replicates",structural_closed
ML013,Swietenia humilis,"G_mating-G_offspring descriptive","only one continuous-forest reference population",HARD_CLOSED,"failure is structural reference replication, despite biologically informative differences","at least two independent continuous-reference populations under same estimand","maternal trees/progeny/loci cannot become habitat replicates",structural_closed
